"node1","node2","diff_w"
"Node9","Node1","0.00181267476185067"
"Node50","Node1","0"
"Node113","Node1","0.0463135372607236"
"Node122","Node1","0.106559135743348"
"Node23","Node2","-0.00174278418658769"
"Node30","Node2","0.170247973809644"
"Node46","Node2","0.10905158135324"
"Node53","Node2","0.00302455110665647"
"Node65","Node2","0.0423787155182681"
"Node82","Node2","0.0271023871035855"
"Node86","Node2","-0.107673026367757"
"Node32","Node3","-0.075394367184922"
"Node61","Node4","-0.148368286625828"
"Node64","Node4","-0.15723263995538"
"Node92","Node4","0.0818135348932824"
"Node94","Node4","0.0971414631456052"
"Node82","Node5","0"
"Node7","Node6","-0.058913005935741"
"Node82","Node6","0.0424719370344674"
"Node91","Node6","0.0573278123022078"
"Node73","Node7","0.023327369927533"
"Node90","Node7","-0.0010419008068184"
"Node91","Node7","-0.0408884397479011"
"Node91","Node8","-0.0589358407224853"
"Node93","Node9","0.0300358858278853"
"Node97","Node9","0.0665184688321367"
"Node26","Node10","0.012996019075273"
"Node54","Node10","0.0113857401378685"
"Node77","Node10","0.131319724828913"
"Node96","Node10","0.0650095723551767"
"Node81","Node11","0.0539294418463336"
"Node89","Node11","0.0985465389678971"
"Node125","Node11","0.0288584722393268"
"Node30","Node13","0.068944123745216"
"Node31","Node13","0.170774408827682"
"Node32","Node13","0.119367873160283"
"Node43","Node13","0.0496332354925084"
"Node44","Node13","0.101349368202099"
"Node45","Node13","0.088696403344949"
"Node48","Node13","0.003901419805074"
"Node51","Node13","0.0601175489377952"
"Node60","Node13","0.00251386537747762"
"Node62","Node13","0.0118749677184256"
"Node65","Node13","0.00735564678418621"
"Node15","Node14","-0.165790140387415"
"Node19","Node14","0.0110187429272076"
"Node22","Node14","0"
"Node28","Node14","0.141232676345341"
"Node30","Node14","0.0085100991176625"
"Node31","Node14","0.0019672597533748"
"Node32","Node14","0.0680180651749498"
"Node45","Node14","0.197075929822178"
"Node51","Node14","0.0461041241758205"
"Node60","Node14","0.0110450099249298"
"Node62","Node14","0.0817517279681865"
"Node9","Node15","0.0265606090547629"
"Node19","Node15","0.0331578252689724"
"Node22","Node15","-0.204674449224123"
"Node23","Node15","0.0098323847724852"
"Node26","Node15","0.162358870978524"
"Node27","Node15","0.148096556246699"
"Node28","Node15","0.074627986963919"
"Node30","Node15","0.0772814300911592"
"Node31","Node15","0.07642484231866"
"Node32","Node15","0.0569729435402595"
"Node35","Node15","0.0743711597301307"
"Node41","Node15","0.0116104613155566"
"Node42","Node15","0.0617941787190181"
"Node44","Node15","0.00185976763239032"
"Node45","Node15","0.0905992558167554"
"Node46","Node15","0.109553585392021"
"Node51","Node15","0.0291990379846513"
"Node65","Node15","0.0013285003846617"
"Node67","Node15","0.129959474549775"
"Node75","Node15","0.0304046694817203"
"Node85","Node15","0"
"Node93","Node15","0.0149944025546887"
"Node95","Node15","0.00857723286968497"
"Node96","Node15","0.00135162968053989"
"Node23","Node16","0.0173895173555522"
"Node28","Node16","0"
"Node55","Node16","0"
"Node95","Node16","0.0152658519262499"
"Node69","Node17","0.0322946750507758"
"Node88","Node17","0.00337089492599337"
"Node19","Node18","0.0840768829448068"
"Node39","Node18","0.0356159897447487"
"Node43","Node18","0.0053837065978485"
"Node46","Node18","0.0108975189136728"
"Node47","Node18","0.0698066945975527"
"Node50","Node18","0.0547124201516286"
"Node52","Node18","0.113987622521001"
"Node54","Node18","0.126190000649897"
"Node56","Node18","0.152299870903713"
"Node59","Node18","-0.018853119481882"
"Node72","Node18","0.0652195199662357"
"Node74","Node18","0.107820852696128"
"Node78","Node18","0.00918873056220668"
"Node82","Node18","0.0939623488314427"
"Node84","Node18","-0.00043722151155295"
"Node85","Node18","0"
"Node86","Node18","0.0133950844419449"
"Node91","Node18","0.107592813227099"
"Node97","Node18","0.104735658728545"
"Node9","Node19","0.0612741421456901"
"Node23","Node19","0.144407321438807"
"Node28","Node19","0.0374349891901442"
"Node30","Node19","0.0276100191321374"
"Node35","Node19","0.09172002913941"
"Node43","Node19","0.0994512387658735"
"Node45","Node19","0.0824364494052578"
"Node47","Node19","0.0347963064090019"
"Node49","Node19","0"
"Node50","Node19","0.109666320080038"
"Node54","Node19","0.0151032023702364"
"Node59","Node19","0.0212216207563697"
"Node65","Node19","0.00763479743620976"
"Node67","Node19","0.00779738140322839"
"Node72","Node19","0.0533755195946833"
"Node73","Node19","0.0147364113289561"
"Node74","Node19","-0.186371682937892"
"Node75","Node19","0.0210587932484141"
"Node83","Node19","0"
"Node84","Node19","0"
"Node85","Node19","0"
"Node86","Node19","0.139881307489852"
"Node93","Node19","0.00396300062492701"
"Node97","Node19","0"
"Node57","Node20","0.0190161867606943"
"Node38","Node21","0.013255877787907"
"Node61","Node21","0.0568984420877005"
"Node25","Node22","-0.0255745229766222"
"Node28","Node22","0.0277692441476488"
"Node30","Node22","0.141110377200456"
"Node46","Node22","-0.027617698044279"
"Node47","Node22","0.0374174296607894"
"Node86","Node22","0"
"Node9","Node23","0.0179024673755864"
"Node26","Node23","0.0751980770876542"
"Node28","Node23","0.123710012955221"
"Node30","Node23","0.082709202136354"
"Node47","Node23","-0.120136657563081"
"Node49","Node23","-0.123205290077634"
"Node50","Node23","-0.071930237940018"
"Node54","Node23","0.00753244690611271"
"Node56","Node23","0.0176016606014803"
"Node65","Node23","-0.0383324118695614"
"Node84","Node23","0.00684672991063116"
"Node27","Node24","0.00968549332275599"
"Node42","Node24","-0.0364300818929093"
"Node64","Node24","0.00519147765351425"
"Node69","Node24","0.020048550564403"
"Node72","Node24","0.0584369109771942"
"Node93","Node24","0.247939479635992"
"Node44","Node25","0.000256050227298182"
"Node49","Node25","-0.0480881989559999"
"Node28","Node26","-0.070187379349314"
"Node30","Node26","0.027821962117354"
"Node31","Node26","-0.0635562433473518"
"Node37","Node26","0.000463577411971047"
"Node41","Node26","-0.0921374819388001"
"Node44","Node26","0.0512920104457145"
"Node45","Node26","-0.0181210717367436"
"Node46","Node26","0.0287269561197906"
"Node49","Node26","0.0112534280743782"
"Node51","Node26","0.24792383075613"
"Node54","Node26","0.136306586366769"
"Node62","Node26","0.0678869504684781"
"Node65","Node26","0.0879653829903783"
"Node67","Node26","-0.123124462111387"
"Node77","Node26","0.0209291522476914"
"Node78","Node26","-0.0449185466694423"
"Node82","Node26","-0.0214474322578994"
"Node31","Node27","0.0993145677004745"
"Node32","Node27","0.0940258767336533"
"Node41","Node27","0.0499217101621623"
"Node42","Node27","0.142617150425755"
"Node52","Node27","0.0147063576881199"
"Node64","Node27","0.092724629109104"
"Node67","Node27","0.0846498263776133"
"Node72","Node27","0.121608902380459"
"Node74","Node27","0.0546820320412061"
"Node82","Node27","0"
"Node87","Node27","0.0580405043253047"
"Node94","Node27","0.151320392483211"
"Node97","Node27","0.0492631459607317"
"Node9","Node28","0.0260578910157993"
"Node30","Node28","-0.0520991498793381"
"Node31","Node28","0.0069743870142878"
"Node39","Node28","-0.106452072355454"
"Node44","Node28","0.0065394127642839"
"Node45","Node28","0.0485237883894806"
"Node46","Node28","-0.159743036253929"
"Node47","Node28","-0.201248377946528"
"Node48","Node28","0.0721978681827197"
"Node49","Node28","-0.123434308756667"
"Node50","Node28","-0.0810035000881486"
"Node53","Node28","0"
"Node54","Node28","-0.049961112603121"
"Node60","Node28","0.0550749926906349"
"Node67","Node28","0.100444495336543"
"Node82","Node28","-0.00249906051212848"
"Node84","Node28","0.0192788397264082"
"Node85","Node28","-0.0052735909070471"
"Node95","Node28","0.176369430244382"
"Node96","Node28","-0.148049388219709"
"Node5","Node29","0.01312674592156"
"Node30","Node29","0.0564271199868158"
"Node41","Node29","0.0178500474011332"
"Node44","Node29","0.0265000356893386"
"Node46","Node29","-0.0741081696199396"
"Node49","Node29","0"
"Node56","Node29","0.0756418999279956"
"Node78","Node29","0.0519224076879452"
"Node79","Node29","-0.0701492374926571"
"Node82","Node29","0.0632538870091346"
"Node84","Node29","0.0811571188257278"
"Node85","Node29","0.0207635154787041"
"Node86","Node29","0"
"Node97","Node29","0.0949237924671692"
"Node9","Node30","0.0292201362427803"
"Node31","Node30","0.0534607031344767"
"Node39","Node30","-0.0389955551286759"
"Node41","Node30","-0.060677600788286"
"Node43","Node30","0.117317286606175"
"Node44","Node30","0.0633345966329414"
"Node45","Node30","0.0211153841757422"
"Node46","Node30","0.102637407995405"
"Node47","Node30","0.0775871225687059"
"Node48","Node30","0.021957893965722"
"Node49","Node30","0.0794328112386907"
"Node50","Node30","0.171845552262031"
"Node51","Node30","0.168742778732968"
"Node52","Node30","0"
"Node53","Node30","0.0700759963633621"
"Node54","Node30","0.0310942790976097"
"Node56","Node30","0.100225157117094"
"Node59","Node30","-0.0486002292562106"
"Node62","Node30","-0.0189167155992822"
"Node65","Node30","0.12778464253088"
"Node67","Node30","0.0243444168517734"
"Node72","Node30","0.00427097276143403"
"Node73","Node30","0.0174488061425657"
"Node74","Node30","0.0826932736583177"
"Node77","Node30","-0.253716989623902"
"Node78","Node30","-0.188025605729891"
"Node82","Node30","0.0499481234485822"
"Node83","Node30","0.0661884472985324"
"Node84","Node30","-0.0344510208618343"
"Node85","Node30","0.0315500258017152"
"Node86","Node30","0.128371319588164"
"Node91","Node30","0.0842048405640321"
"Node97","Node30","0.026715304355549"
"Node32","Node31","0.176252103737519"
"Node37","Node31","0.0121920578734505"
"Node39","Node31","0"
"Node43","Node31","0.0398085287121229"
"Node44","Node31","0.173079628515006"
"Node45","Node31","0.00625430150046"
"Node46","Node31","-0.10029627943886"
"Node47","Node31","0.00910305884996176"
"Node48","Node31","0.115786268933171"
"Node49","Node31","0.001248069275019"
"Node50","Node31","0.0035609159454757"
"Node51","Node31","0.111753013008648"
"Node56","Node31","0.0007881619175467"
"Node62","Node31","0"
"Node65","Node31","0.0293171787177023"
"Node68","Node31","0.00157633812134288"
"Node72","Node31","5.22301647027803e-05"
"Node74","Node31","0.140103853358929"
"Node77","Node31","-0.05555530535961"
"Node78","Node31","0.00565956551666076"
"Node82","Node31","0.113724533591272"
"Node91","Node31","0.130446346918246"
"Node6","Node32","0.0455444712864495"
"Node37","Node32","0.140208001174183"
"Node42","Node32","0.000298739285321168"
"Node44","Node32","0.0174045946492831"
"Node45","Node32","0.0171131054717077"
"Node60","Node32","0.226813426933512"
"Node87","Node32","0.00393050309894982"
"Node8","Node34","0.04658207937072"
"Node94","Node34","0.0181237785282783"
"Node6","Node35","-0.000590029118902497"
"Node7","Node35","0.0176509995256197"
"Node45","Node35","-0.0997606441215368"
"Node49","Node35","0.0162164041710278"
"Node72","Node35","0.230188069534712"
"Node86","Node35","0.0510387886678888"
"Node44","Node36","0.0171991404850829"
"Node44","Node37","0.145209372155855"
"Node49","Node37","0.183659983929104"
"Node58","Node37","0.155893075055452"
"Node60","Node37","0.0757892544552533"
"Node62","Node37","0.0876094701985283"
"Node77","Node37","0.126518173178968"
"Node87","Node37","0.0835266340213034"
"Node44","Node39","0.00589560906931408"
"Node46","Node39","0.00105989623317173"
"Node47","Node39","-0.0238610188166162"
"Node49","Node39","0.0217418465216791"
"Node50","Node39","0.0509156985205894"
"Node54","Node39","-0.150162820288882"
"Node56","Node39","0.0332963588076324"
"Node72","Node39","0.0135796738596763"
"Node73","Node39","0.00185021129218132"
"Node74","Node39","0.147731051959526"
"Node76","Node39","0.0374722968997489"
"Node82","Node39","0.00588697672049154"
"Node84","Node39","0.203645627511011"
"Node59","Node40","0"
"Node79","Node40","0.0135815501599303"
"Node82","Node40","0.00557416797594232"
"Node45","Node41","-0.0675421113821234"
"Node46","Node41","0.136739577754419"
"Node51","Node41","0.142286903610734"
"Node53","Node41","0.110387046792655"
"Node54","Node41","-0.106099101925879"
"Node61","Node41","0.0534449985238973"
"Node62","Node41","-0.120722763015725"
"Node64","Node41","0.0119891025998439"
"Node67","Node41","0.0537357185363525"
"Node76","Node41","0.240456002256612"
"Node77","Node41","0.0133689894781857"
"Node78","Node41","0.0770727220945873"
"Node82","Node41","0.0820404803814796"
"Node83","Node41","0.0595723314935816"
"Node97","Node41","0.0838456995442899"
"Node45","Node43","-0.138503493346805"
"Node46","Node43","0.0717295732660431"
"Node47","Node43","0.0506335543448465"
"Node48","Node43","0.0740541496498125"
"Node50","Node43","0.0207464174352481"
"Node53","Node43","0"
"Node55","Node43","0.0829300288149024"
"Node59","Node43","0.0520357093926127"
"Node71","Node43","0.0675093707573491"
"Node74","Node43","-0.152441533390797"
"Node83","Node43","0.0114188791477148"
"Node84","Node43","0.178164029715984"
"Node85","Node43","0.0159955033086358"
"Node86","Node43","-0.387293762761217"
"Node97","Node43","0.00956858610342464"
"Node5","Node44","-0.0735741669385795"
"Node9","Node44","0.0762520758619415"
"Node45","Node44","-0.135037242103252"
"Node46","Node44","0.0674936243343192"
"Node49","Node44","-0.030482222530599"
"Node62","Node44","-0.103949408694135"
"Node74","Node44","0.194019199087126"
"Node77","Node44","0.00983405501285134"
"Node82","Node44","0.0185450968169226"
"Node86","Node44","-0.0267909849554063"
"Node96","Node44","-0.0439091597719484"
"Node7","Node45","0.128976199979088"
"Node46","Node45","0.0797238399524123"
"Node49","Node45","0.0787841043658186"
"Node51","Node45","0.0389160046645342"
"Node53","Node45","-0.044756750030282"
"Node55","Node45","-0.125122477974132"
"Node65","Node45","0.114852721564723"
"Node67","Node45","-0.0650121867306261"
"Node73","Node45","0.139560205858425"
"Node86","Node45","0.0391229895349495"
"Node91","Node45","0.0513985048887984"
"Node95","Node45","0.00388141098956228"
"Node9","Node46","0"
"Node47","Node46","0.0737674790862125"
"Node59","Node46","0"
"Node63","Node46","0.0797650980500832"
"Node65","Node46","0.0698852695645162"
"Node67","Node46","0.046795247858963"
"Node75","Node46","0.0670123401910306"
"Node78","Node46","0.0039025427684182"
"Node83","Node46","0"
"Node84","Node46","-0.131151340067401"
"Node85","Node46","-0.118637756410884"
"Node86","Node46","0.0790449793582333"
"Node48","Node47","0.0452560059731072"
"Node50","Node47","0.0883431355921733"
"Node54","Node47","-0.143947348896317"
"Node56","Node47","0.0322531535075937"
"Node58","Node47","0.0140385090371114"
"Node67","Node47","-0.0812062793625404"
"Node73","Node47","0"
"Node74","Node47","0.0245300291450305"
"Node84","Node47","0.08777851725284"
"Node85","Node47","0"
"Node51","Node48","0.00443067811364876"
"Node54","Node48","0.0101105957321234"
"Node65","Node48","0.101841705924999"
"Node72","Node48","0.0020964725310893"
"Node85","Node48","0.00384962366739232"
"Node91","Node48","0.0864537457202796"
"Node5","Node49","-0.0231830877257072"
"Node7","Node49","0.0400548183641309"
"Node9","Node49","0.0540834901920146"
"Node50","Node49","0.0206537235717012"
"Node53","Node49","0.0239696216390341"
