"node1","node2","diff_w"
"Node9","Node1","0.0230540722823738"
"Node50","Node1","0.012184871535773"
"Node113","Node1","0.0501385333840459"
"Node122","Node1","0.103644802255286"
"Node23","Node2","-0.0393920412853947"
"Node30","Node2","0.203371605421274"
"Node46","Node2","0.123216810362672"
"Node53","Node2","0"
"Node65","Node2","0.0581471151706412"
"Node82","Node2","0"
"Node86","Node2","-0.0994246563979012"
"Node32","Node3","-0.0760693334575349"
"Node61","Node4","-0.167823880874786"
"Node64","Node4","-0.108342509423967"
"Node92","Node4","0.25635551144456"
"Node94","Node4","0.139053627371409"
"Node82","Node5","0.00823203440226354"
"Node7","Node6","-0.075673798622605"
"Node82","Node6","0"
"Node91","Node6","0.0630707373077131"
"Node73","Node7","0"
"Node90","Node7","-0.0207715421712913"
"Node91","Node7","0.017222619393488"
"Node91","Node8","-0.000113882494256007"
"Node93","Node9","0.180766170487466"
"Node97","Node9","0.214521515906904"
"Node26","Node10","0"
"Node54","Node10","-0.000991688436764413"
"Node77","Node10","0.150545824939428"
"Node96","Node10","0.0356699035951787"
"Node81","Node11","0"
"Node89","Node11","0"
"Node125","Node11","0"
"Node30","Node13","0.21877345097383"
"Node31","Node13","0.0917086850279773"
"Node32","Node13","0.170274439078281"
"Node43","Node13","0.251613346714926"
"Node44","Node13","0"
"Node45","Node13","0.0416578693512356"
"Node48","Node13","-0.059776644059613"
"Node51","Node13","0.0361316919392738"
"Node60","Node13","0.0157769742584648"
"Node62","Node13","0"
"Node65","Node13","0"
"Node15","Node14","-0.165447238688089"
"Node19","Node14","0"
"Node22","Node14","0.0392772350942812"
"Node28","Node14","0.0380220913718634"
"Node30","Node14","0"
"Node31","Node14","0"
"Node32","Node14","0.218337980845068"
"Node45","Node14","0.255581500690543"
"Node51","Node14","0"
"Node60","Node14","0.0458250176480085"
"Node62","Node14","0.0339576257284194"
"Node9","Node15","0.100643648980997"
"Node19","Node15","0"
"Node22","Node15","-0.208778263571017"
"Node23","Node15","-0.0140639761891874"
"Node26","Node15","0.227095842535125"
"Node27","Node15","0.173981526990735"
"Node28","Node15","-0.0994302528062605"
"Node30","Node15","0.0423779087410491"
"Node31","Node15","0.0234443763482446"
"Node32","Node15","0.0909232230641036"
"Node35","Node15","0.0630089307934938"
"Node41","Node15","0.0338637481754028"
"Node42","Node15","0.0520752543982706"
"Node44","Node15","0"
"Node45","Node15","0.0270985603108464"
"Node46","Node15","0.0776950690781352"
"Node51","Node15","0"
"Node65","Node15","0"
"Node67","Node15","0.219115390895788"
"Node75","Node15","0.0467817932123219"
"Node85","Node15","0.015497456602848"
"Node93","Node15","0"
"Node95","Node15","0"
"Node96","Node15","0"
"Node23","Node16","0.213291030051728"
"Node28","Node16","0.00211390018291144"
"Node55","Node16","0.0315414540582611"
"Node95","Node16","0"
"Node69","Node17","0.0680372587179422"
"Node88","Node17","0"
"Node19","Node18","0.318207840430774"
"Node39","Node18","0.346507756527599"
"Node43","Node18","-0.0300158553044555"
"Node46","Node18","0.00341314977862298"
"Node47","Node18","0.152540749864863"
"Node50","Node18","0.151472557999126"
"Node52","Node18","0.170970644806973"
"Node54","Node18","0.0525385637762672"
"Node56","Node18","0.299834071416602"
"Node59","Node18","0.540947903174345"
"Node72","Node18","0.11286670714504"
"Node74","Node18","0.184431280806528"
"Node78","Node18","0"
"Node82","Node18","0.129602181649518"
"Node84","Node18","0.10649585799778"
"Node85","Node18","0.122567177038611"
"Node86","Node18","0.263778216335012"
"Node91","Node18","0.307613437984719"
"Node97","Node18","0.195877352533312"
"Node9","Node19","0.382861563269558"
"Node23","Node19","0.201576312309766"
"Node28","Node19","0.239023670437735"
"Node30","Node19","0.169972706269885"
"Node35","Node19","0.005828408363418"
"Node43","Node19","0.563505336388885"
"Node45","Node19","0.124093841279376"
"Node47","Node19","0.1709468307022"
"Node49","Node19","0.0640697750619589"
"Node50","Node19","0.147135625721789"
"Node54","Node19","-0.0700387129567823"
"Node59","Node19","0.0340169067143852"
"Node65","Node19","0"
"Node67","Node19","0.0530005332832996"
"Node72","Node19","0.298883819857308"
"Node73","Node19","0.297123692987764"
"Node74","Node19","-0.16671633592074"
"Node75","Node19","0.0883074232119276"
"Node83","Node19","0.06604920395657"
"Node84","Node19","0.0618393504110569"
"Node85","Node19","0.0931650978821408"
"Node86","Node19","0.496876542860025"
"Node93","Node19","0.233285986518515"
"Node97","Node19","0.0247367151781046"
"Node57","Node20","0.0392755534372162"
"Node38","Node21","0"
"Node61","Node21","0.0585769958595025"
"Node25","Node22","-0.036622976865171"
"Node28","Node22","-0.0514804968929789"
"Node30","Node22","-0.0130184807021239"
"Node46","Node22","-0.090329038952486"
"Node47","Node22","0.0237440386375875"
"Node86","Node22","0.0660075070485996"
"Node9","Node23","-0.00464976500324466"
"Node26","Node23","0.0121073649838602"
"Node28","Node23","0.0617262600269214"
"Node30","Node23","0.09285328552638"
"Node47","Node23","-0.025988186023616"
"Node49","Node23","-0.00483552774551302"
