"node","rank_sum_dist","p_val"
"Node9",3496,1
"Node1",3792,0.385474485987437
"Node50",3871,0.920227213734961
"Node113",4030,0.241109201075412
"Node122",3034,1
"Node23",3079,1
"Node2",3183,1
"Node30",2709,1
"Node46",3313,1
"Node53",3167,1
"Node65",3844,0.635059772301397
"Node82",3745,1
"Node86",3614,0.971955509899828
"Node32",2890,1
"Node3",4177,0.00777485873859281
"Node61",61,1
"Node4",5032,4.10645829130492e-10
"Node64",3308,1
"Node92",3938,0.636167723383941
"Node94",3001,1
"Node5",4546,0.00173705111676095
"Node7",2770,1
"Node6",90,1
"Node91",4032,0.167239668460209
"Node73",3389,1
"Node90",2754,1
"Node8",4092,0.00555146660145907
"Node93",3449,1
"Node97",2199,1
"Node26",2921,1
"Node10",4216,0.00967945593813719
"Node54",3818,0.329869765219652
"Node77",4224,0.00737063838914172
"Node96",3978,0.006805441183846
"Node81",153,1
"Node11",203,1
"Node89",4088,0.0324485437137735
"Node125",3769,0.920227213734961
"Node13",2770,1
"Node31",2939,1
"Node43",2717,1
"Node44",3405,1
"Node45",3164,1
"Node48",3242,1
"Node51",2342,1
"Node60",3677,0.950157251985998
"Node62",3467,1
"Node15",2375,1
"Node14",3265,1
"Node19",3552,0.886299698950746
"Node22",3276,1
"Node28",2807,1
"Node27",2215,1
"Node35",3471,1
"Node41",2917,1
"Node42",4458,8.81075151128295e-05
"Node67",3167,1
"Node75",4197,0.0183533473186756
"Node85",3829,0.319722878234983
"Node95",3621,1
"Node16",4490,8.81075151128295e-05
"Node55",4182,0.0764096448357729
"Node69",3726,1
"Node17",253,1
"Node88",3829,0.442948533531327
"Node18",4021,0.120575438972097
"Node39",3509,1
"Node47",3323,1
"Node52",3230,1
"Node56",3376,1
"Node59",4346,0.00119627849328462
"Node72",3262,1
"Node74",3220,1
"Node78",3647,1
"Node84",3121,1
"Node49",4001,0.286992945200596
"Node83",3639,0.998469718465282
"Node57",303,1
"Node20",2813,1
"Node38",353,1
"Node21",403,1
"Node25",2992,1
"Node24",4583,4.44727587835323e-05
"Node37",3989,0.167239668460209
"Node87",3349,1
"Node29",3557,0.886674039383773
"Node79",2757,1
"Node68",453,1
"Node34",4275,0.0030007381973822
"Node36",4083,0.241109201075412
"Node58",3516,0.963576743963846
"Node76",3797,0.886299698950746
"Node40",503,1
"Node71",4329,0.00543872269662934
"Node63",4395,0.000375566162748588
"Node70",3549,1
"Node99",4516,2.04658841664918e-05
"Node98",4174,0.0312687788908353
"Node100",3971,0.211943747200624
"Node101",4153,0.00322548466494143
"Node102",3674,0.52790719648297
"Node104",2325,1
"Node103",553,1
"Node105",2256,1
"Node110",4163,0.10264143630586
"Node106",4527,9.73782966360577e-05
"Node108",2964,1
"Node109",4005,0.0454973181169569
"Node107",603,1
"Node118",3994,0.319722878234983
"Node111",3746,0.52790719648297
"Node112",3650,1
"Node114",3805,0.158433337412335
"Node115",2431,1
"Node116",3245,1
"Node117",2482,1
"Node121",3277,1
"Node124",3141,1
"Node123",3374,1
"Node33",3537,1
"Node12",653,1
"Node66",703,1
"Node119",753,1
"Node120",803,1
