"node","rank_sum_dist","p_val"
"Node9",3165,1
"Node1",3963,0.23346502962467
"Node50",2862,1
"Node113",3049,1
"Node122",3538,1
"Node23",2443,1
"Node2",3334,1
"Node30",2376,1
"Node46",2817,1
"Node53",3247,1
"Node65",3198,1
"Node82",2444,1
"Node86",2809,1
"Node32",2713,1
"Node3",3841,0.396901585614385
"Node61",4297,0.00195661775801152
"Node4",3352,1
"Node64",3276,1
"Node92",3398,1
"Node94",3210,1
"Node5",3391,1
"Node7",2150,1
"Node6",50,1
"Node91",3979,0.239133975038138
"Node73",4252,0.0157315663877441
"Node90",3015,1
"Node8",3642,1
"Node93",3367,1
"Node97",2875,1
"Node26",2765,1
"Node10",4560,0.00111239347822592
"Node54",2161,1
"Node77",2584,1
"Node96",3997,0.0398323804660304
"Node81",102,1
"Node11",4242,0.0113205615529969
"Node89",4243,0.00453847800413213
"Node125",3557,1
"Node13",3678,1
"Node31",2708,1
"Node43",2569,1
"Node44",2764,1
"Node45",2514,1
"Node48",3206,1
"Node51",2150,1
"Node60",3610,1
"Node62",3659,1
"Node15",3239,1
"Node14",2759,1
"Node19",4401,0.00401400656034592
"Node22",2579,1
"Node28",2220,1
"Node27",2402,1
"Node35",4222,0.0540228854835328
"Node41",2664,1
"Node42",3998,0.140108908373355
"Node67",3179,1
"Node75",4679,0.000917263247663406
"Node85",2666,1
"Node95",3734,1
"Node16",4863,0.000299765184554573
"Node55",3118,1
"Node69",3029,1
"Node17",3978,0.2725299444514
"Node88",3599,1
"Node18",3405,1
"Node39",2725,1
"Node47",2640,1
"Node52",3561,0.558638961910262
"Node56",3407,1
"Node59",3171,1
"Node72",3638,1
"Node74",2738,1
"Node78",2803,1
"Node84",1800,1
"Node49",2611,1
"Node83",3329,1
"Node57",3112,1
"Node20",3179,1
"Node38",152,1
"Node21",3058,1
"Node25",2443,1
"Node24",4384,0.0157315663877441
"Node37",4070,0.333481064502348
"Node87",3470,1
"Node29",3668,1
"Node79",2254,1
"Node68",202,1
"Node34",3518,1
"Node36",2334,1
"Node58",4205,0.00548239791256112
"Node76",3047,1
"Node40",252,1
"Node71",4143,0.0323749399370752
"Node63",4424,0.00516994486318809
"Node70",4289,0.0105614482745075
"Node99",4618,3.35557256295139e-06
"Node98",4177,0.0636162024136585
"Node100",3588,1
"Node101",4370,0.0540228854835328
"Node102",4516,0.00217120814087331
"Node104",2754,1
"Node103",302,1
"Node105",2416,1
"Node110",4690,4.27717461982176e-05
"Node106",4892,3.06881703089364e-07
"Node108",2678,1
"Node109",4215,0.00115725080184645
"Node107",352,1
"Node118",2698,1
"Node111",3953,0.0325299406322644
"Node112",3990,0.00548239791256112
"Node114",3770,0.396901585614385
"Node115",4510,0.00117238706288987
"Node116",3204,1
"Node117",2949,1
"Node121",4374,0.000467485969101356
"Node124",3173,1
"Node123",2792,1
"Node33",2059,1
"Node12",3354,1
"Node66",3769,0.558638961910262
"Node119",402,1
"Node120",452,1
