"node","rank_sum_dist","p_val"
"Node9",3460,1
"Node1",4197,0.0296584928433958
"Node50",2669,1
"Node113",3409,1
"Node122",3777,1
"Node23",2181,1
"Node2",3142,1
"Node30",2139,1
"Node46",2000,1
"Node53",3165,1
"Node65",3541,1
"Node82",2495,1
"Node86",2427,1
"Node32",2517,1
"Node3",101,1
"Node61",4623,0.000119830972106209
"Node4",3003,1
"Node64",3684,1
"Node92",3213,1
"Node94",3083,1
"Node5",3923,0.444115888535639
"Node7",1420,1
"Node6",51,1
"Node91",3174,1
"Node73",4513,0.00098159484096451
"Node90",3563,1
"Node8",2616,1
"Node93",3574,1
"Node97",2774,1
"Node26",3017,1
"Node10",4900,9.10518741358485e-08
"Node54",2531,1
"Node77",3031,1
"Node96",4047,0.106513637594546
"Node81",151,1
"Node11",4532,0.000201972749589871
"Node89",4216,0.0227168683060389
"Node125",3740,1
"Node13",3630,0.996568023709558
"Node31",2349,1
"Node43",2866,1
"Node44",3160,1
"Node45",2757,1
"Node48",4175,0.106513637594546
"Node51",2860,1
"Node60",3471,1
"Node62",3157,1
"Node15",3137,1
"Node14",3660,1
"Node19",4025,0.32446712992007
"Node22",3304,1
"Node28",2100,1
"Node27",2621,1
"Node35",3912,0.384914851675204
"Node41",2603,1
"Node42",3494,1
"Node67",3298,1
"Node75",3387,1
"Node85",2101,1
"Node95",201,1
"Node16",4246,0.000703112275295912
"Node55",3828,0.106076451511349
"Node69",2836,1
"Node17",4528,0.00098159484096451
"Node88",3533,1
"Node18",3689,1
"Node39",2844,1
"Node47",2658,1
"Node52",3499,1
"Node56",3183,1
"Node59",3015,1
"Node72",3860,0.38499610341821
"Node74",3341,1
"Node78",2527,1
"Node84",1714,1
"Node49",2810,1
"Node83",3249,1
"Node57",3547,1
"Node20",3331,1
"Node38",251,1
"Node21",2887,1
"Node25",2518,1
"Node24",3703,1
"Node37",4269,0.0140943001644969
"Node87",3431,1
"Node29",3181,1
"Node79",2752,1
"Node68",301,1
"Node34",4200,0.229208680510338
"Node36",2664,1
"Node58",4145,0.179588988498958
"Node76",2951,1
"Node40",3833,0.364077503619072
"Node71",2818,1
"Node63",3500,1
"Node70",3908,0.197509593999098
"Node99",4877,3.64469661676793e-11
"Node98",4470,0.00021506069255399
"Node100",4700,0.00021506069255399
"Node101",351,1
"Node102",4109,0.0163876808017514
"Node104",2899,1
"Node103",3843,0.335043025432767
"Node105",1675,1
"Node110",4749,2.80978789578175e-06
"Node106",4719,2.08539262016272e-06
"Node108",3130,1
"Node109",2886,1
"Node107",4133,0.0348391910307836
"Node118",2450,1
"Node111",3998,0.0484120075601234
"Node112",4153,0.229208680510338
"Node114",4178,0.106513637594546
"Node115",4069,0.131894489344528
"Node116",3042,1
"Node117",2874,1
"Node121",4605,2.7664482361279e-07
"Node124",3728,0.762242916925085
"Node123",3020,1
"Node33",2109,1
"Node12",3827,0.59821938451597
"Node66",3637,1
"Node119",401,1
"Node120",451,1
