"x"
"Node3" "Sutterellaceae Sutterella"
"Node4" "Erysipelotrichaceae sp."
"Node5" "Lachnospiraceae Clostridium_XlVb"
"Node8" "Erysipelotrichaceae Clostridium_XVIII"
"Node10" "Bifidobacteriaceae Bifidobacterium"
"Node77" "Ruminococcaceae Faecalibacterium"
"Node96" "Coriobacteriaceae Collinsella"
"Node89" "Pasteurellaceae Haemophilus"
"Node42" "Lachnospiraceae sp."
"Node75" "Ruminococcaceae Subdoligranulum"
"Node16" "Lachnospiraceae Roseburia"
"Node59" "Lachnospiraceae sp."
"Node24" "Lachnospiraceae Blautia"
"Node34" "Lachnospiraceae sp."
"Node71" "Rikenellaceae Alistipes"
"Node63" "Ruminococcaceae Flavonifractor"
"Node99" "Streptococcaceae Streptococcus"
"Node98" "Streptococcaceae Streptococcus"
"Node101" "Bacteroidaceae Bacteroides"
"Node106" "Bacteroidaceae Bacteroides"
"Node109" "Bacteroidaceae Bacteroides"
