"x"
"Node61" "Ruminococcaceae Butyricicoccus"
"Node73" "Rikenellaceae Alistipes"
"Node10" "Bifidobacteriaceae Bifidobacterium"
"Node96" "Coriobacteriaceae Collinsella"
"Node11" "Bifidobacteriaceae Bifidobacterium"
"Node89" "Pasteurellaceae Haemophilus"
"Node19" "Lachnospiraceae Roseburia"
"Node75" "Ruminococcaceae Subdoligranulum"
"Node16" "Lachnospiraceae Roseburia"
"Node24" "Lachnospiraceae Blautia"
"Node58" "Lachnospiraceae sp."
"Node71" "Rikenellaceae Alistipes"
"Node63" "Ruminococcaceae Flavonifractor"
"Node70" "Rikenellaceae Alistipes"
"Node99" "Streptococcaceae Streptococcus"
"Node98" "Streptococcaceae Streptococcus"
"Node101" "Bacteroidaceae Bacteroides"
"Node102" "Bacteroidaceae Bacteroides"
"Node110" "Bacteroidaceae Bacteroides"
"Node106" "Bacteroidaceae Bacteroides"
"Node109" "Bacteroidaceae Bacteroides"
"Node111" "Bacteroidaceae Bacteroides"
"Node112" "Porphyromonadaceae Coprobacter"
"Node115" "Porphyromonadaceae Parabacteroides"
"Node121" "Clostridiaceae_1 Clostridium_sensu_stricto"
