"x"
"Node1" "Desulfovibrionaceae Bilophila"
"Node61" "Ruminococcaceae Butyricicoccus"
"Node73" "Rikenellaceae Alistipes"
"Node10" "Bifidobacteriaceae Bifidobacterium"
"Node11" "Bifidobacteriaceae Bifidobacterium"
"Node89" "Pasteurellaceae Haemophilus"
"Node16" "Lachnospiraceae Roseburia"
"Node17" "Lachnospiraceae Roseburia"
"Node37" "Lachnospiraceae sp."
"Node99" "Streptococcaceae Streptococcus"
"Node98" "Streptococcaceae Streptococcus"
"Node100" "Bacteroidaceae Bacteroides"
"Node102" "Bacteroidaceae Bacteroides"
"Node110" "Bacteroidaceae Bacteroides"
"Node106" "Bacteroidaceae Bacteroides"
"Node111" "Bacteroidaceae Bacteroides"
"Node121" "Clostridiaceae_1 Clostridium_sensu_stricto"
