Family	CD_TNF	CD_UC_TNF	CD_UC_VDZ	CD_UST	CD_VDZ	UC_VDZ	sum_taxas	appearance
Lachnospiraceae	4	20	22	2	7	148	203	6
Ruminococcaceae	1	11	11	3	6	87	119	6
Erysipelotrichaceae	0	0	5	0	0	17	22	2
Rikenellaceae	0	0	6	0	2	13	21	3
Porphyromonadaceae	0	1	3	2	0	9	15	4
Coriobacteriaceae	1	3	2	1	0	6	13	5
Bacteroidaceae	0	0	1	0	0	6	7	2
Bifidobacteriaceae	0	2	2	0	0	2	6	3
Streptococcaceae	0	2	0	2	0	1	5	3
Veillonellaceae	0	0	0	2	1	0	3	2
Desulfovibrionaceae	0	0	0	0	0	3	3	1
Verrucomicrobiaceae	0	0	1	0	0	1	2	2
Eubacteriaceae	0	0	0	0	0	2	2	1
Bacillales_Incertae_Sedis_XI	0	0	0	0	1	0	1	1
Clostridiaceae_1	0	0	0	0	0	1	1	1
Enterobacteriaceae	0	0	0	0	0	1	1	1
Peptostreptococcaceae	0	0	0	0	0	1	1	1
Sutterellaceae	0	0	0	0	0	1	1	1
0	0	0	0	0	0	0	0	0
