Family	CD_TNF	CD_UC_TNF	CD_UC_VDZ	CD_UST	CD_VDZ	UC_TNF	UC_VDZ	sum_taxas	appearance
Lachnospiraceae	3	7	2	6	8	19	3	48	7
Ruminococcaceae	3	3	4	4	3	17	1	35	7
Bacteroidaceae	2	0	1	0	0	6	0	9	3
Rikenellaceae	0	4	0	1	1	2	0	8	4
Erysipelotrichaceae	0	2	1	0	0	4	0	7	3
Peptostreptococcaceae	0	1	0	0	0	4	0	5	2
Porphyromonadaceae	0	1	1	0	0	2	0	4	3
Streptococcaceae	0	0	0	3	0	0	0	3	1
Bifidobacteriaceae	0	0	0	0	0	3	0	3	1
Bacillales_Incertae_Sedis_XI	0	0	1	0	0	1	0	2	2
Enterococcaceae	0	0	0	1	0	0	0	1	1
Clostridiaceae_1	0	0	0	0	0	1	0	1	1
Coriobacteriaceae	0	0	0	0	0	1	0	1	1
Enterobacteriaceae	0	0	0	0	0	1	0	1	1
Eubacteriaceae	0	0	0	0	0	1	0	1	1
Sutterellaceae	0	0	0	0	0	1	0	1	1
0	0	0	0	0	0	0	0	0	0
