Family	CD_TNF	CD_UC_TNF	CD_UC_VDZ	CD_UST	CD_VDZ	UC_TNF	UC_VDZ	sum_taxas	appearance
Lachnospiraceae	12	15	5	33	7	10	6	88	7
Ruminococcaceae	3	7	8	22	4	11	3	58	7
Rikenellaceae	3	5	2	0	1	2	0	13	5
Bacteroidaceae	0	0	1	1	0	5	0	7	3
Coriobacteriaceae	1	0	0	4	0	1	0	6	3
Peptostreptococcaceae	1	3	0	0	0	1	0	5	3
Erysipelotrichaceae	0	1	0	1	0	1	1	4	4
Porphyromonadaceae	0	1	1	0	0	2	0	4	3
Bifidobacteriaceae	1	0	0	0	0	2	0	3	2
Verrucomicrobiaceae	1	0	1	0	0	0	0	2	2
Clostridiaceae_1	0	2	0	0	0	0	0	2	1
Enterococcaceae	1	0	0	0	0	0	0	1	1
Bacillales_Incertae_Sedis_XI	0	0	1	0	0	0	0	1	1
Streptococcaceae	0	0	1	0	0	0	0	1	1
Eubacteriaceae	0	0	0	0	0	1	0	1	1
Sutterellaceae	0	0	0	0	0	1	0	1	1
0	0	0	0	0	0	0	0	0	0
