Genus	CD_TNF	CD_UC_TNF	CD_UC_VDZ	CD_UST	CD_VDZ	UC_VDZ	sum_taxas	appearance	Family
Blautia	0	2	4	0	1	24	31	4	Lachnospiraceae
Clostridium_XlVa	0	1	3	0	2	25	31	4	Lachnospiraceae
Dorea	0	3	1	0	0	18	22	3	Lachnospiraceae
Faecalibacterium	0	1	1	1	1	18	22	5	Ruminococcaceae
Alistipes	0	0	6	0	2	13	21	3	Rikenellaceae
Clostridium_IV	0	3	1	0	1	10	15	4	Ruminococcaceae
Sporobacter	0	1	1	0	0	11	13	3	Ruminococcaceae
Clostridium_XVIII	0	0	5	0	0	6	11	2	Erysipelotrichaceae
Roseburia	0	1	2	0	1	7	11	4	Lachnospiraceae
Ruminococcus2	1	1	0	0	0	7	9	3	Lachnospiraceae
Adlercreutzia	1	2	1	0	0	3	7	4	Coriobacteriaceae
Bacteroides	0	0	1	0	0	6	7	2	Bacteroidaceae
Odoribacter	0	0	3	1	0	3	7	3	Porphyromonadaceae
Bifidobacterium	0	2	2	0	0	2	6	3	Bifidobacteriaceae
Intestinimonas	0	0	0	0	0	6	6	1	Ruminococcaceae
Oscillibacter	0	0	1	0	1	4	6	3	Ruminococcaceae
Ruminococcus	0	0	2	0	0	4	6	2	Ruminococcaceae
Faecalicoccus	0	0	0	0	0	5	5	1	Erysipelotrichaceae
Fusicatenibacter	1	0	0	1	0	3	5	3	Lachnospiraceae
Streptococcus	0	2	0	2	0	1	5	3	Streptococcaceae
Butyricicoccus	0	1	1	0	0	2	4	3	Ruminococcaceae
Collinsella	0	1	1	0	0	2	4	3	Coriobacteriaceae
Coprococcus	0	1	0	0	1	2	4	3	Lachnospiraceae
Bilophila	0	0	0	0	0	3	3	1	Desulfovibrionaceae
Clostridium_XlVb	0	1	1	0	0	1	3	3	Lachnospiraceae
Flavonifractor	0	0	0	1	1	1	3	3	Ruminococcaceae
Turicibacter	0	0	0	0	0	3	3	1	Erysipelotrichaceae
Veillonella	0	0	0	2	1	0	3	2	Veillonellaceae
Akkermansia	0	0	1	0	0	1	2	2	Verrucomicrobiaceae
Anaerofustis	0	0	0	0	0	2	2	1	Eubacteriaceae
Anaerostipes	0	0	1	0	0	1	2	2	Lachnospiraceae
Coprobacter	0	0	0	0	0	2	2	1	Porphyromonadaceae
Gemmiger	0	2	0	0	0	0	2	1	Ruminococcaceae
Parabacteroides	0	1	0	1	0	0	2	2	Porphyromonadaceae
Subdoligranulum	0	2	0	0	0	0	2	1	Ruminococcaceae
Clostridium_sensu_stricto	0	0	0	0	0	1	1	1	Clostridiaceae_1
Eggerthella	0	0	0	1	0	0	1	1	Coriobacteriaceae
Escherichia/Shigella	0	0	0	0	0	1	1	1	Enterobacteriaceae
Gemella	0	0	0	0	1	0	1	1	Bacillales_Incertae_Sedis_XI
Romboutsia	0	0	0	0	0	1	1	1	Peptostreptococcaceae
Senegalimassilia	0	0	0	0	0	1	1	1	Coriobacteriaceae
Sutterella	0	0	0	0	0	1	1	1	Sutterellaceae
