Genus	CD_TNF	CD_UC_TNF	CD_UC_VDZ	CD_UST	CD_VDZ	UC_TNF	UC_VDZ	sum_taxas	appearance	Family
Faecalibacterium	1	1	1	1	1	5	0	10	6	Ruminococcaceae
Bacteroides	2	0	1	0	0	6	0	9	3	Bacteroidaceae
Alistipes	0	4	0	1	1	2	0	8	4	Rikenellaceae
Blautia	0	0	0	1	0	3	2	6	3	Lachnospiraceae
Clostridium_IV	1	0	0	0	0	5	0	6	2	Ruminococcaceae
Dorea	0	0	1	0	2	1	1	5	4	Lachnospiraceae
Oscillibacter	0	1	1	1	1	1	0	5	5	Ruminococcaceae
Clostridium_XVIII	0	0	1	0	0	3	0	4	2	Erysipelotrichaceae
Roseburia	0	1	1	2	0	0	0	4	3	Lachnospiraceae
Bifidobacterium	0	0	0	0	0	3	0	3	1	Bifidobacteriaceae
Clostridium_XlVa	0	1	0	1	0	1	0	3	3	Lachnospiraceae
Coprococcus	1	1	0	0	0	1	0	3	3	Lachnospiraceae
Romboutsia	0	1	0	0	0	2	0	3	2	Peptostreptococcaceae
Ruminococcus2	0	0	0	0	0	3	0	3	1	Lachnospiraceae
Streptococcus	0	0	0	3	0	0	0	3	1	Streptococcaceae
Flavonifractor	0	0	0	0	0	1	1	2	2	Ruminococcaceae
Gemella	0	0	1	0	0	1	0	2	2	Bacillales_Incertae_Sedis_XI
Intestinibacter	0	0	0	0	0	2	0	2	1	Peptostreptococcaceae
Intestinimonas	0	0	0	0	0	2	0	2	1	Ruminococcaceae
Odoribacter	0	0	1	0	0	1	0	2	2	Porphyromonadaceae
Parabacteroides	0	1	0	0	0	1	0	2	2	Porphyromonadaceae
Sporobacter	0	1	1	0	0	0	0	2	2	Ruminococcaceae
Turicibacter	0	1	0	0	0	1	0	2	2	Erysipelotrichaceae
Anaerofustis	0	0	0	0	0	1	0	1	1	Eubacteriaceae
Anaerostipes	0	0	0	0	1	0	0	1	1	Lachnospiraceae
Butyricicoccus	0	0	0	0	0	1	0	1	1	Ruminococcaceae
Clostridium_sensu_stricto	0	0	0	0	0	1	0	1	1	Clostridiaceae_1
Clostridium_XlVb	0	1	0	0	0	0	0	1	1	Lachnospiraceae
Collinsella	0	0	0	0	0	1	0	1	1	Coriobacteriaceae
Escherichia/Shigella	0	0	0	0	0	1	0	1	1	Enterobacteriaceae
Ruminococcus	0	0	1	0	0	0	0	1	1	Ruminococcaceae
Sutterella	0	0	0	0	0	1	0	1	1	Sutterellaceae
