Genus	CD_TNF	CD_UC_TNF	CD_UC_VDZ	CD_UST	CD_VDZ	UC_TNF	UC_VDZ	sum_taxas	appearance	Family
Blautia	2	2	0	17	1	1	2	25	6	Lachnospiraceae
Faecalibacterium	1	0	2	8	2	5	0	18	5	Ruminococcaceae
Alistipes	3	5	2	0	1	2	0	13	5	Rikenellaceae
Clostridium_IV	0	0	0	6	0	2	0	8	2	Ruminococcaceae
Bacteroides	0	0	1	1	0	5	0	7	3	Bacteroidaceae
Clostridium_XlVa	0	3	1	1	1	0	1	7	5	Lachnospiraceae
Flavonifractor	0	0	0	4	0	0	1	5	2	Ruminococcaceae
Sporobacter	0	1	2	0	0	0	2	5	3	Ruminococcaceae
Adlercreutzia	1	0	0	3	0	0	0	4	2	Coriobacteriaceae
Coprococcus	0	2	0	2	0	0	0	4	2	Lachnospiraceae
Roseburia	3	1	0	0	0	0	0	4	2	Lachnospiraceae
Bifidobacterium	1	0	0	0	0	2	0	3	2	Bifidobacteriaceae
Clostridium_XlVb	1	1	0	1	0	0	0	3	3	Lachnospiraceae
Dorea	0	0	0	2	0	0	1	3	2	Lachnospiraceae
Romboutsia	0	2	0	0	0	1	0	3	2	Peptostreptococcaceae
Ruminococcus	0	1	0	0	1	1	0	3	3	Ruminococcaceae
Ruminococcus2	0	0	1	0	0	2	0	3	2	Lachnospiraceae
Turicibacter	0	1	0	0	0	1	1	3	3	Erysipelotrichaceae
Akkermansia	1	0	1	0	0	0	0	2	2	Verrucomicrobiaceae
Anaerostipes	1	0	0	0	1	0	0	2	2	Lachnospiraceae
Butyricicoccus	0	0	0	2	0	0	0	2	1	Ruminococcaceae
Clostridium_sensu_stricto	0	2	0	0	0	0	0	2	1	Clostridiaceae_1
Gemmiger	1	1	0	0	0	0	0	2	2	Ruminococcaceae
Intestinibacter	1	1	0	0	0	0	0	2	2	Peptostreptococcaceae
Intestinimonas	0	0	0	1	0	1	0	2	2	Ruminococcaceae
Odoribacter	0	1	1	0	0	0	0	2	2	Porphyromonadaceae
Oscillibacter	0	0	1	0	0	1	0	2	2	Ruminococcaceae
Anaerofustis	0	0	0	0	0	1	0	1	1	Eubacteriaceae
Clostridium_XVIII	0	0	0	1	0	0	0	1	1	Erysipelotrichaceae
Collinsella	0	0	0	0	0	1	0	1	1	Coriobacteriaceae
Coprobacter	0	0	0	0	0	1	0	1	1	Porphyromonadaceae
Eggerthella	0	0	0	1	0	0	0	1	1	Coriobacteriaceae
Enterococcus	1	0	0	0	0	0	0	1	1	Enterococcaceae
Fusicatenibacter	0	0	0	0	1	0	0	1	1	Lachnospiraceae
Gemella	0	0	1	0	0	0	0	1	1	Bacillales_Incertae_Sedis_XI
Parabacteroides	0	0	0	0	0	1	0	1	1	Porphyromonadaceae
Streptococcus	0	0	1	0	0	0	0	1	1	Streptococcaceae
Sutterella	0	0	0	0	0	1	0	1	1	Sutterellaceae
