Family_1__Family_2	CD_TNF	CD_UC_TNF	CD_UC_VDZ	CD_UST	CD_VDZ	UC_VDZ	sum_taxas	appearance	Family_1	Family_2
Lachnospiraceae__Lachnospiraceae	1	6	7	0	2	47	63	5	Lachnospiraceae	Lachnospiraceae
Lachnospiraceae__Ruminococcaceae	1	5	3	1	3	30	43	6	Lachnospiraceae	Ruminococcaceae
Ruminococcaceae__Ruminococcaceae	0	2	3	0	1	19	25	4	Ruminococcaceae	Ruminococcaceae
Erysipelotrichaceae__Lachnospiraceae	0	0	4	0	0	11	15	2	Erysipelotrichaceae	Lachnospiraceae
Ruminococcaceae__NA	0	0	0	0	1	8	9	2	Ruminococcaceae	NA
Lachnospiraceae__NA	0	0	0	0	0	7	7	1	Lachnospiraceae	NA
Coriobacteriaceae__Ruminococcaceae	0	2	0	1	0	2	5	3	Coriobacteriaceae	Ruminococcaceae
Coriobacteriaceae__Lachnospiraceae	1	0	1	0	0	2	4	3	Coriobacteriaceae	Lachnospiraceae
Erysipelotrichaceae__Ruminococcaceae	0	0	1	0	0	3	4	2	Erysipelotrichaceae	Ruminococcaceae
Porphyromonadaceae__Rikenellaceae	0	0	1	0	0	3	4	2	Porphyromonadaceae	Rikenellaceae
Porphyromonadaceae__Ruminococcaceae	0	0	0	1	0	3	4	2	Porphyromonadaceae	Ruminococcaceae
Lachnospiraceae__Porphyromonadaceae	0	1	0	1	0	1	3	3	Lachnospiraceae	Porphyromonadaceae
Rikenellaceae__Rikenellaceae	0	0	2	0	1	0	3	2	Rikenellaceae	Rikenellaceae
Rikenellaceae__NA	0	0	0	0	0	3	3	1	Rikenellaceae	NA
Rikenellaceae__Ruminococcaceae	0	0	0	0	0	3	3	1	Rikenellaceae	Ruminococcaceae
Bifidobacteriaceae__Lachnospiraceae	0	2	0	0	0	0	2	1	Bifidobacteriaceae	Lachnospiraceae
Coriobacteriaceae__NA	0	1	0	0	0	1	2	2	Coriobacteriaceae	NA
Bacteroidaceae__Rikenellaceae	0	0	1	0	0	1	2	2	Bacteroidaceae	Rikenellaceae
Porphyromonadaceae__NA	0	0	1	0	0	1	2	2	Porphyromonadaceae	NA
Streptococcaceae__Veillonellaceae	0	0	0	2	0	0	2	1	Streptococcaceae	Veillonellaceae
NA__NA	0	0	0	0	0	2	2	1	NA	NA
Streptococcaceae__Streptococcaceae	0	1	0	0	0	0	1	1	Streptococcaceae	Streptococcaceae
Bifidobacteriaceae__Coriobacteriaceae	0	0	1	0	0	0	1	1	Bifidobacteriaceae	Coriobacteriaceae
Bifidobacteriaceae__Ruminococcaceae	0	0	1	0	0	0	1	1	Bifidobacteriaceae	Ruminococcaceae
Porphyromonadaceae__Verrucomicrobiaceae	0	0	1	0	0	0	1	1	Porphyromonadaceae	Verrucomicrobiaceae
Bacillales_Incertae_Sedis_XI__Veillonellaceae	0	0	0	0	1	0	1	1	Bacillales_Incertae_Sedis_XI	Veillonellaceae
Bacteroidaceae__Bacteroidaceae	0	0	0	0	0	1	1	1	Bacteroidaceae	Bacteroidaceae
Bacteroidaceae__Coriobacteriaceae	0	0	0	0	0	1	1	1	Bacteroidaceae	Coriobacteriaceae
Bacteroidaceae__Porphyromonadaceae	0	0	0	0	0	1	1	1	Bacteroidaceae	Porphyromonadaceae
Bacteroidaceae__Sutterellaceae	0	0	0	0	0	1	1	1	Bacteroidaceae	Sutterellaceae
Bifidobacteriaceae__Bifidobacteriaceae	0	0	0	0	0	1	1	1	Bifidobacteriaceae	Bifidobacteriaceae
Clostridiaceae_1__Erysipelotrichaceae	0	0	0	0	0	1	1	1	Clostridiaceae_1	Erysipelotrichaceae
Desulfovibrionaceae__NA	0	0	0	0	0	1	1	1	Desulfovibrionaceae	NA
Desulfovibrionaceae__Rikenellaceae	0	0	0	0	0	1	1	1	Desulfovibrionaceae	Rikenellaceae
Desulfovibrionaceae__Verrucomicrobiaceae	0	0	0	0	0	1	1	1	Desulfovibrionaceae	Verrucomicrobiaceae
Enterobacteriaceae__Streptococcaceae	0	0	0	0	0	1	1	1	Enterobacteriaceae	Streptococcaceae
Erysipelotrichaceae__NA	0	0	0	0	0	1	1	1	Erysipelotrichaceae	NA
Erysipelotrichaceae__Rikenellaceae	0	0	0	0	0	1	1	1	Erysipelotrichaceae	Rikenellaceae
Eubacteriaceae__Lachnospiraceae	0	0	0	0	0	1	1	1	Eubacteriaceae	Lachnospiraceae
Eubacteriaceae__NA	0	0	0	0	0	1	1	1	Eubacteriaceae	NA
Lachnospiraceae__Peptostreptococcaceae	0	0	0	0	0	1	1	1	Lachnospiraceae	Peptostreptococcaceae
Lachnospiraceae__Rikenellaceae	0	0	0	0	0	1	1	1	Lachnospiraceae	Rikenellaceae
0	0	0	0	0	0	0	0	0	0	NA
