Family_1__Family_2	CD_TNF	CD_UC_TNF	CD_UC_VDZ	CD_UST	CD_VDZ	UC_TNF	UC_VDZ	sum_taxas	appearance	Family_1	Family_2
Lachnospiraceae__Lachnospiraceae	1	1	0	3	3	6	1	15	6	Lachnospiraceae	Lachnospiraceae
Lachnospiraceae__Ruminococcaceae	1	2	1	0	2	3	1	10	6	Lachnospiraceae	Ruminococcaceae
Ruminococcaceae__Ruminococcaceae	1	0	1	2	0	5	0	9	4	Ruminococcaceae	Ruminococcaceae
Erysipelotrichaceae__Lachnospiraceae	0	1	1	0	0	3	0	5	3	Erysipelotrichaceae	Lachnospiraceae
Bacteroidaceae__Bacteroidaceae	1	0	0	0	0	2	0	3	2	Bacteroidaceae	Bacteroidaceae
Rikenellaceae__Ruminococcaceae	0	1	0	0	1	1	0	3	3	Rikenellaceae	Ruminococcaceae
Erysipelotrichaceae__Peptostreptococcaceae	0	1	0	0	0	1	0	2	2	Erysipelotrichaceae	Peptostreptococcaceae
Bacteroidaceae__Porphyromonadaceae	0	0	1	0	0	1	0	2	2	Bacteroidaceae	Porphyromonadaceae
Lachnospiraceae__Porphyromonadaceae	0	1	0	0	0	0	0	1	1	Lachnospiraceae	Porphyromonadaceae
Lachnospiraceae__Rikenellaceae	0	1	0	0	0	0	0	1	1	Lachnospiraceae	Rikenellaceae
Rikenellaceae__Rikenellaceae	0	1	0	0	0	0	0	1	1	Rikenellaceae	Rikenellaceae
Bacillales_Incertae_Sedis_XI__Ruminococcaceae	0	0	1	0	0	0	0	1	1	Bacillales_Incertae_Sedis_XI	Ruminococcaceae
Enterococcaceae__Streptococcaceae	0	0	0	1	0	0	0	1	1	Enterococcaceae	Streptococcaceae
Rikenellaceae__NA	0	0	0	1	0	0	0	1	1	Rikenellaceae	NA
Streptococcaceae__Streptococcaceae	0	0	0	1	0	0	0	1	1	Streptococcaceae	Streptococcaceae
Bacillales_Incertae_Sedis_XI__Enterobacteriaceae	0	0	0	0	0	1	0	1	1	Bacillales_Incertae_Sedis_XI	Enterobacteriaceae
Bacteroidaceae__Rikenellaceae	0	0	0	0	0	1	0	1	1	Bacteroidaceae	Rikenellaceae
Bifidobacteriaceae__Bifidobacteriaceae	0	0	0	0	0	1	0	1	1	Bifidobacteriaceae	Bifidobacteriaceae
Bifidobacteriaceae__Lachnospiraceae	0	0	0	0	0	1	0	1	1	Bifidobacteriaceae	Lachnospiraceae
Clostridiaceae_1__Peptostreptococcaceae	0	0	0	0	0	1	0	1	1	Clostridiaceae_1	Peptostreptococcaceae
Coriobacteriaceae__Ruminococcaceae	0	0	0	0	0	1	0	1	1	Coriobacteriaceae	Ruminococcaceae
Eubacteriaceae__Ruminococcaceae	0	0	0	0	0	1	0	1	1	Eubacteriaceae	Ruminococcaceae
Peptostreptococcaceae__Peptostreptococcaceae	0	0	0	0	0	1	0	1	1	Peptostreptococcaceae	Peptostreptococcaceae
Porphyromonadaceae__Sutterellaceae	0	0	0	0	0	1	0	1	1	Porphyromonadaceae	Sutterellaceae
Ruminococcaceae__NA	0	0	0	0	0	1	0	1	1	Ruminococcaceae	NA
0	0	0	0	0	0	0	0	0	0	0	NA
