Family_1__Family_2	CD_TNF	CD_UC_TNF	CD_UC_VDZ	CD_UST	CD_VDZ	UC_TNF	UC_VDZ	sum_taxas	appearance	Family_1	Family_2
Lachnospiraceae__Lachnospiraceae	4	6	2	8	3	3	2	28	7	Lachnospiraceae	Lachnospiraceae
Lachnospiraceae__Ruminococcaceae	1	2	0	15	1	2	1	22	6	Lachnospiraceae	Ruminococcaceae
Ruminococcaceae__Ruminococcaceae	1	2	3	1	1	3	1	12	7	Ruminococcaceae	Ruminococcaceae
Rikenellaceae__Ruminococcaceae	0	1	1	0	1	1	0	4	4	Rikenellaceae	Ruminococcaceae
Coriobacteriaceae__Ruminococcaceae	0	0	0	3	0	0	0	3	1	Coriobacteriaceae	Ruminococcaceae
Lachnospiraceae__NA	1	1	0	0	0	0	0	2	2	Lachnospiraceae	NA
Clostridiaceae_1__Peptostreptococcaceae	0	2	0	0	0	0	0	2	1	Clostridiaceae_1	Peptostreptococcaceae
Erysipelotrichaceae__Peptostreptococcaceae	0	1	0	0	0	1	0	2	2	Erysipelotrichaceae	Peptostreptococcaceae
Bacteroidaceae__Rikenellaceae	0	0	1	0	0	1	0	2	2	Bacteroidaceae	Rikenellaceae
Coriobacteriaceae__Lachnospiraceae	0	0	0	1	0	1	0	2	2	Coriobacteriaceae	Lachnospiraceae
Ruminococcaceae__NA	0	0	0	1	0	1	0	2	2	Ruminococcaceae	NA
Bacteroidaceae__Bacteroidaceae	0	0	0	0	0	2	0	2	1	Bacteroidaceae	Bacteroidaceae
Bifidobacteriaceae__Lachnospiraceae	1	0	0	0	0	0	0	1	1	Bifidobacteriaceae	Lachnospiraceae
Coriobacteriaceae__Rikenellaceae	1	0	0	0	0	0	0	1	1	Coriobacteriaceae	Rikenellaceae
Enterococcaceae__Peptostreptococcaceae	1	0	0	0	0	0	0	1	1	Enterococcaceae	Peptostreptococcaceae
Lachnospiraceae__Rikenellaceae	1	0	0	0	0	0	0	1	1	Lachnospiraceae	Rikenellaceae
Rikenellaceae__Verrucomicrobiaceae	1	0	0	0	0	0	0	1	1	Rikenellaceae	Verrucomicrobiaceae
Porphyromonadaceae__Rikenellaceae	0	1	0	0	0	0	0	1	1	Porphyromonadaceae	Rikenellaceae
Rikenellaceae__NA	0	1	0	0	0	0	0	1	1	Rikenellaceae	NA
Rikenellaceae__Rikenellaceae	0	1	0	0	0	0	0	1	1	Rikenellaceae	Rikenellaceae
Bacillales_Incertae_Sedis_XI__Ruminococcaceae	0	0	1	0	0	0	0	1	1	Bacillales_Incertae_Sedis_XI	Ruminococcaceae
Lachnospiraceae__Streptococcaceae	0	0	1	0	0	0	0	1	1	Lachnospiraceae	Streptococcaceae
Porphyromonadaceae__Verrucomicrobiaceae	0	0	1	0	0	0	0	1	1	Porphyromonadaceae	Verrucomicrobiaceae
Bacteroidaceae__Lachnospiraceae	0	0	0	1	0	0	0	1	1	Bacteroidaceae	Lachnospiraceae
Erysipelotrichaceae__Ruminococcaceae	0	0	0	1	0	0	0	1	1	Erysipelotrichaceae	Ruminococcaceae
Bifidobacteriaceae__Bifidobacteriaceae	0	0	0	0	0	1	0	1	1	Bifidobacteriaceae	Bifidobacteriaceae
Eubacteriaceae__Ruminococcaceae	0	0	0	0	0	1	0	1	1	Eubacteriaceae	Ruminococcaceae
Lachnospiraceae__Porphyromonadaceae	0	0	0	0	0	1	0	1	1	Lachnospiraceae	Porphyromonadaceae
Porphyromonadaceae__Sutterellaceae	0	0	0	0	0	1	0	1	1	Porphyromonadaceae	Sutterellaceae
Erysipelotrichaceae__Lachnospiraceae	0	0	0	0	0	0	1	1	1	Erysipelotrichaceae	Lachnospiraceae
0	0	0	0	0	0	0	0	0	0	0	NA
