Genus_1	Genus_2	Genus_1__Genus_2	CD_TNF	CD_UC_TNF	CD_UC_VDZ	CD_UST	CD_VDZ	UC_VDZ	sum_taxas	appearance	Family.x	Family.y
Clostridium_XlVa	Clostridium_XlVa	Clostridium_XlVa__Clostridium_XlVa	0	0	1	0	1	2	4	3	Lachnospiraceae	Lachnospiraceae
Alistipes	Alistipes	Alistipes__Alistipes	0	0	2	0	1	0	3	2	Rikenellaceae	Rikenellaceae
Alistipes	Odoribacter	Alistipes__Odoribacter	0	0	1	0	0	2	3	2	Porphyromonadaceae	Rikenellaceae
Blautia	Roseburia	Blautia__Roseburia	0	0	0	0	0	3	3	1	Lachnospiraceae	Lachnospiraceae
Clostridium_XlVa	Faecalibacterium	Clostridium_XlVa__Faecalibacterium	0	0	0	0	0	3	3	1	Ruminococcaceae	Lachnospiraceae
Clostridium_XlVa	Dorea	Clostridium_XlVa__Dorea	0	1	0	0	0	2	3	2	Lachnospiraceae	Lachnospiraceae
Dorea	Ruminococcus2	Dorea__Ruminococcus2	0	0	0	0	0	3	3	1	Lachnospiraceae	Lachnospiraceae
Alistipes	Bacteroides	Alistipes__Bacteroides	0	0	1	0	0	1	2	2	Bacteroidaceae	Rikenellaceae
Blautia	Clostridium_XVIII	Blautia__Clostridium_XVIII	0	0	1	0	0	1	2	2	Erysipelotrichaceae	Lachnospiraceae
Blautia	Faecalibacterium	Blautia__Faecalibacterium	0	0	0	0	0	2	2	1	Ruminococcaceae	Lachnospiraceae
Dorea	Dorea	Dorea__Dorea	0	0	0	0	0	2	2	1	Lachnospiraceae	Lachnospiraceae
Faecalibacterium	Faecalibacterium	Faecalibacterium__Faecalibacterium	0	0	0	0	0	2	2	1	Ruminococcaceae	Ruminococcaceae
Streptococcus	Veillonella	Streptococcus__Veillonella	0	0	0	2	0	0	2	1	Veillonellaceae	Streptococcaceae
Adlercreutzia	Faecalibacterium	Adlercreutzia__Faecalibacterium	0	0	0	0	0	1	1	1	Ruminococcaceae	Coriobacteriaceae
