Genus_1	Genus_2	Genus_1__Genus_2	CD_TNF	CD_UC_TNF	CD_UC_VDZ	CD_UST	CD_VDZ	UC_TNF	UC_VDZ	sum_taxas	appearance	Family.x	Family.y
Bacteroides	Bacteroides	Bacteroides__Bacteroides	1	0	0	0	0	2	0	3	2	Bacteroidaceae	Bacteroidaceae
Bacteroides	Odoribacter	Bacteroides__Odoribacter	0	0	1	0	0	1	0	2	2	Porphyromonadaceae	Bacteroidaceae
Coprococcus	Faecalibacterium	Coprococcus__Faecalibacterium	1	0	0	0	0	1	0	2	2	Ruminococcaceae	Lachnospiraceae
Faecalibacterium	Faecalibacterium	Faecalibacterium__Faecalibacterium	0	0	0	0	0	2	0	2	1	Ruminococcaceae	Ruminococcaceae
Romboutsia	Turicibacter	Romboutsia__Turicibacter	0	1	0	0	0	1	0	2	2	Erysipelotrichaceae	Peptostreptococcaceae
Alistipes	Bacteroides	Alistipes__Bacteroides	0	0	0	0	0	1	0	1	1	Bacteroidaceae	Rikenellaceae
Alistipes	Roseburia	Alistipes__Roseburia	0	1	0	0	0	0	0	1	1	Lachnospiraceae	Rikenellaceae
Alistipes	Alistipes	Alistipes__Alistipes	0	1	0	0	0	0	0	1	1	Rikenellaceae	Rikenellaceae
Alistipes	Sporobacter	Alistipes__Sporobacter	0	1	0	0	0	0	0	1	1	Ruminococcaceae	Rikenellaceae
Alistipes	Oscillibacter	Alistipes__Oscillibacter	0	0	0	0	0	1	0	1	1	Ruminococcaceae	Rikenellaceae
Anaerofustis	Clostridium_IV	Anaerofustis__Clostridium_IV	0	0	0	0	0	1	0	1	1	Ruminococcaceae	Eubacteriaceae
Bifidobacterium	Bifidobacterium	Bifidobacterium__Bifidobacterium	0	0	0	0	0	1	0	1	1	Bifidobacteriaceae	Bifidobacteriaceae
Blautia	Clostridium_XVIII	Blautia__Clostridium_XVIII	0	0	0	0	0	1	0	1	1	Erysipelotrichaceae	Lachnospiraceae
Butyricicoccus	Collinsella	Butyricicoccus__Collinsella	0	0	0	0	0	1	0	1	1	Coriobacteriaceae	Ruminococcaceae
Clostridium_IV	Clostridium_IV	Clostridium_IV__Clostridium_IV	0	0	0	0	0	1	0	1	1	Ruminococcaceae	Ruminococcaceae
Clostridium_IV	Flavonifractor	Clostridium_IV__Flavonifractor	0	0	0	0	0	1	0	1	1	Ruminococcaceae	Ruminococcaceae
Clostridium_sensu_stricto	Intestinibacter	Clostridium_sensu_stricto__Intestinibacter	0	0	0	0	0	1	0	1	1	Peptostreptococcaceae	Clostridiaceae_1
Clostridium_XlVb	Parabacteroides	Clostridium_XlVb__Parabacteroides	0	1	0	0	0	0	0	1	1	Porphyromonadaceae	Lachnospiraceae
Clostridium_XVIII	Dorea	Clostridium_XVIII__Dorea	0	0	1	0	0	0	0	1	1	Lachnospiraceae	Erysipelotrichaceae
Clostridium_XVIII	Ruminococcus2	Clostridium_XVIII__Ruminococcus2	0	0	0	0	0	1	0	1	1	Lachnospiraceae	Erysipelotrichaceae
Coprococcus	Oscillibacter	Coprococcus__Oscillibacter	0	1	0	0	0	0	0	1	1	Ruminococcaceae	Lachnospiraceae
Dorea	Blautia	Dorea__Blautia	0	0	0	0	0	0	1	1	1	Lachnospiraceae	Lachnospiraceae
Dorea	Dorea	Dorea__Dorea	0	0	0	0	1	0	0	1	1	Lachnospiraceae	Lachnospiraceae
Escherichia/Shigella	Gemella	Escherichia/Shigella__Gemella	0	0	0	0	0	1	0	1	1	Bacillales_Incertae_Sedis_XI	Enterobacteriaceae
Faecalibacterium	Gemella	Faecalibacterium__Gemella	0	0	1	0	0	0	0	1	1	Bacillales_Incertae_Sedis_XI	Ruminococcaceae
Flavonifractor	Blautia	Flavonifractor__Blautia	0	0	0	0	0	0	1	1	1	Lachnospiraceae	Ruminococcaceae
Intestinibacter	Romboutsia	Intestinibacter__Romboutsia	0	0	0	0	0	1	0	1	1	Peptostreptococcaceae	Peptostreptococcaceae
Oscillibacter	Sporobacter	Oscillibacter__Sporobacter	0	0	1	0	0	0	0	1	1	Ruminococcaceae	Ruminococcaceae
Parabacteroides	Sutterella	Parabacteroides__Sutterella	0	0	0	0	0	1	0	1	1	Sutterellaceae	Porphyromonadaceae
Roseburia	Ruminococcus	Roseburia__Ruminococcus	0	0	1	0	0	0	0	1	1	Ruminococcaceae	Lachnospiraceae
Roseburia	Roseburia	Roseburia__Roseburia	0	0	0	1	0	0	0	1	1	Lachnospiraceae	Lachnospiraceae
Streptococcus	Streptococcus	Streptococcus__Streptococcus	0	0	0	1	0	0	0	1	1	Streptococcaceae	Streptococcaceae
