Genus_1	Genus_2	Genus_1__Genus_2	CD_TNF	CD_UC_TNF	CD_UC_VDZ	CD_UST	CD_VDZ	UC_TNF	UC_VDZ	sum_taxas	appearance	Family.x	Family.y
Blautia	Blautia	Blautia__Blautia	1	0	0	2	0	0	0	3	2	Lachnospiraceae	Lachnospiraceae
Blautia	Dorea	Blautia__Dorea	0	0	0	2	0	0	1	3	2	Lachnospiraceae	Lachnospiraceae
Alistipes	Bacteroides	Alistipes__Bacteroides	0	0	1	0	0	1	0	2	2	Bacteroidaceae	Rikenellaceae
Bacteroides	Bacteroides	Bacteroides__Bacteroides	0	0	0	0	0	2	0	2	1	Bacteroidaceae	Bacteroidaceae
Blautia	Flavonifractor	Blautia__Flavonifractor	0	0	0	1	0	0	1	2	2	Ruminococcaceae	Lachnospiraceae
Blautia	Faecalibacterium	Blautia__Faecalibacterium	0	0	0	2	0	0	0	2	1	Ruminococcaceae	Lachnospiraceae
Faecalibacterium	Faecalibacterium	Faecalibacterium__Faecalibacterium	0	0	0	0	0	2	0	2	1	Ruminococcaceae	Ruminococcaceae
Romboutsia	Turicibacter	Romboutsia__Turicibacter	0	1	0	0	0	1	0	2	2	Erysipelotrichaceae	Peptostreptococcaceae
Adlercreutzia	Intestinimonas	Adlercreutzia__Intestinimonas	0	0	0	1	0	0	0	1	1	Ruminococcaceae	Coriobacteriaceae
Adlercreutzia	Flavonifractor	Adlercreutzia__Flavonifractor	0	0	0	1	0	0	0	1	1	Ruminococcaceae	Coriobacteriaceae
Adlercreutzia	Alistipes	Adlercreutzia__Alistipes	1	0	0	0	0	0	0	1	1	Rikenellaceae	Coriobacteriaceae
Adlercreutzia	Blautia	Adlercreutzia__Blautia	0	0	0	1	0	0	0	1	1	Lachnospiraceae	Coriobacteriaceae
Akkermansia	Alistipes	Akkermansia__Alistipes	1	0	0	0	0	0	0	1	1	Rikenellaceae	Verrucomicrobiaceae
Akkermansia	Odoribacter	Akkermansia__Odoribacter	0	0	1	0	0	0	0	1	1	Porphyromonadaceae	Verrucomicrobiaceae
Alistipes	Alistipes	Alistipes__Alistipes	0	1	0	0	0	0	0	1	1	Rikenellaceae	Rikenellaceae
Alistipes	Odoribacter	Alistipes__Odoribacter	0	1	0	0	0	0	0	1	1	Porphyromonadaceae	Rikenellaceae
Alistipes	Roseburia	Alistipes__Roseburia	1	0	0	0	0	0	0	1	1	Lachnospiraceae	Rikenellaceae
Alistipes	Ruminococcus	Alistipes__Ruminococcus	0	0	0	0	1	0	0	1	1	Ruminococcaceae	Rikenellaceae
Alistipes	Oscillibacter	Alistipes__Oscillibacter	0	0	0	0	0	1	0	1	1	Ruminococcaceae	Rikenellaceae
Alistipes	Sporobacter	Alistipes__Sporobacter	0	1	0	0	0	0	0	1	1	Ruminococcaceae	Rikenellaceae
Anaerofustis	Clostridium_IV	Anaerofustis__Clostridium_IV	0	0	0	0	0	1	0	1	1	Ruminococcaceae	Eubacteriaceae
Bifidobacterium	Bifidobacterium	Bifidobacterium__Bifidobacterium	0	0	0	0	0	1	0	1	1	Bifidobacteriaceae	Bifidobacteriaceae
Blautia	Clostridium_IV	Blautia__Clostridium_IV	0	0	0	1	0	0	0	1	1	Ruminococcaceae	Lachnospiraceae
Blautia	Butyricicoccus	Blautia__Butyricicoccus	0	0	0	1	0	0	0	1	1	Ruminococcaceae	Lachnospiraceae
Butyricicoccus	Flavonifractor	Butyricicoccus__Flavonifractor	0	0	0	1	0	0	0	1	1	Ruminococcaceae	Ruminococcaceae
Clostridium_IV	Coprococcus	Clostridium_IV__Coprococcus	0	0	0	1	0	0	0	1	1	Lachnospiraceae	Ruminococcaceae
Clostridium_IV	Clostridium_XlVa	Clostridium_IV__Clostridium_XlVa	0	0	0	1	0	0	0	1	1	Lachnospiraceae	Ruminococcaceae
Clostridium_IV	Clostridium_XVIII	Clostridium_IV__Clostridium_XVIII	0	0	0	1	0	0	0	1	1	Erysipelotrichaceae	Ruminococcaceae
Clostridium_sensu_stricto	Intestinibacter	Clostridium_sensu_stricto__Intestinibacter	0	1	0	0	0	0	0	1	1	Peptostreptococcaceae	Clostridiaceae_1
Clostridium_sensu_stricto	Romboutsia	Clostridium_sensu_stricto__Romboutsia	0	1	0	0	0	0	0	1	1	Peptostreptococcaceae	Clostridiaceae_1
Clostridium_XlVa	Turicibacter	Clostridium_XlVa__Turicibacter	0	0	0	0	0	0	1	1	1	Erysipelotrichaceae	Lachnospiraceae
Clostridium_XlVa	Coprococcus	Clostridium_XlVa__Coprococcus	0	1	0	0	0	0	0	1	1	Lachnospiraceae	Lachnospiraceae
Clostridium_XlVa	Clostridium_XlVa	Clostridium_XlVa__Clostridium_XlVa	0	1	0	0	0	0	0	1	1	Lachnospiraceae	Lachnospiraceae
Clostridium_XlVa	Fusicatenibacter	Clostridium_XlVa__Fusicatenibacter	0	0	0	0	1	0	0	1	1	Lachnospiraceae	Lachnospiraceae
Clostridium_XlVb	Faecalibacterium	Clostridium_XlVb__Faecalibacterium	0	0	0	1	0	0	0	1	1	Ruminococcaceae	Lachnospiraceae
Coprococcus	Faecalibacterium	Coprococcus__Faecalibacterium	0	0	0	1	0	0	0	1	1	Ruminococcaceae	Lachnospiraceae
Eggerthella	Flavonifractor	Eggerthella__Flavonifractor	0	0	0	1	0	0	0	1	1	Ruminococcaceae	Coriobacteriaceae
Enterococcus	Intestinibacter	Enterococcus__Intestinibacter	1	0	0	0	0	0	0	1	1	Peptostreptococcaceae	Enterococcaceae
Faecalibacterium	Sporobacter	Faecalibacterium__Sporobacter	0	0	1	0	0	0	0	1	1	Ruminococcaceae	Ruminococcaceae
Faecalibacterium	Ruminococcus	Faecalibacterium__Ruminococcus	0	0	0	0	0	1	0	1	1	Ruminococcaceae	Ruminococcaceae
Faecalibacterium	Gemella	Faecalibacterium__Gemella	0	0	1	0	0	0	0	1	1	Bacillales_Incertae_Sedis_XI	Ruminococcaceae
Oscillibacter	Sporobacter	Oscillibacter__Sporobacter	0	0	1	0	0	0	0	1	1	Ruminococcaceae	Ruminococcaceae
Parabacteroides	Sutterella	Parabacteroides__Sutterella	0	0	0	0	0	1	0	1	1	Sutterellaceae	Porphyromonadaceae
Ruminococcus2	Streptococcus	Ruminococcus2__Streptococcus	0	0	1	0	0	0	0	1	1	Streptococcaceae	Lachnospiraceae
Sporobacter	Sporobacter	Sporobacter__Sporobacter	0	0	0	0	0	0	1	1	1	Ruminococcaceae	Ruminococcaceae
