Family	CD_TNF_14	CD_TNF_24	CD_UC_TNF_14	CD_UC_TNF_24	CD_UC_VDZ_14	CD_UC_VDZ_24	CD_UST_24	CD_VDZ_14	CD_VDZ_24	UC_TNF_14	UC_VDZ_14	sum_taxas	appearance
Lachnospiraceae	9	1	13	1	8	5	7	9	5	3	14	75	11
Ruminococcaceae	4	3	10	3	3	6	1	10	6	0	9	55	10
Bacteroidaceae	0	3	1	3	0	1	0	0	1	0	0	9	5
Rikenellaceae	0	0	0	0	2	1	0	0	1	0	2	6	4
Erysipelotrichaceae	1	0	1	0	0	1	0	0	1	1	0	5	5
Sutterellaceae	0	1	0	1	0	0	0	0	0	0	0	2	2
Porphyromonadaceae	0	0	1	0	1	0	0	0	0	0	0	2	2
Clostridiaceae_1	0	0	0	0	1	0	0	0	0	0	1	2	2
Acidaminococcaceae	0	0	0	0	0	1	0	0	1	0	0	2	2
Clostridiales_Incertae_Sedis_XIII	0	0	0	0	0	1	0	0	1	0	0	2	2
Coriobacteriaceae	0	0	1	0	0	0	0	0	0	0	0	1	1
Peptostreptococcaceae	0	0	0	0	1	0	0	0	0	0	0	1	1
Veillonellaceae	0	0	0	0	0	0	1	0	0	0	0	1	1
Verrucomicrobiaceae	0	0	0	0	0	0	1	0	0	0	0	1	1
Desulfovibrionaceae	0	0	0	0	0	0	0	0	0	0	1	1	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0
