Family	CD_TNF_14	CD_TNF_24	CD_UC_TNF_14	CD_UC_TNF_24	CD_UC_VDZ_14	CD_UC_VDZ_24	CD_UST_24	CD_VDZ_14	CD_VDZ_24	UC_TNF_14	UC_VDZ_14	sum_taxas	appearance
Lachnospiraceae	1	10	63	10	5	12	6	1	12	7	18	145	11
Ruminococcaceae	1	7	29	7	3	4	3	1	4	2	12	73	11
Erysipelotrichaceae	2	1	3	1	0	0	0	0	0	3	1	11	6
Porphyromonadaceae	0	0	6	0	0	0	0	1	0	2	0	9	3
Bacteroidaceae	2	0	4	0	0	0	0	0	0	1	0	7	3
Coriobacteriaceae	0	0	5	0	0	0	1	0	0	1	0	7	3
Rikenellaceae	0	0	2	0	1	0	0	0	0	1	2	6	4
Clostridiaceae_1	0	1	1	1	0	0	0	1	0	0	1	5	5
Sutterellaceae	1	0	0	0	0	1	0	0	1	1	0	4	4
Pasteurellaceae	0	1	1	1	0	0	0	0	0	0	0	3	3
Streptococcaceae	0	0	1	0	0	1	0	0	1	0	0	3	3
Peptostreptococcaceae	0	0	0	0	0	0	0	1	0	0	1	2	2
Bifidobacteriaceae	1	0	0	0	0	0	0	0	0	0	0	1	1
Acidaminococcaceae	0	0	1	0	0	0	0	0	0	0	0	1	1
Enterobacteriaceae	0	0	1	0	0	0	0	0	0	0	0	1	1
Prevotellaceae	0	0	1	0	0	0	0	0	0	0	0	1	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0
