Family	CD_TNF_14	CD_TNF_24	CD_UC_TNF_14	CD_UC_TNF_24	CD_UC_VDZ_14	CD_UC_VDZ_24	CD_UST_24	CD_VDZ_14	CD_VDZ_24	UC_TNF_14	UC_VDZ_14	sum_taxas	appearance
Lachnospiraceae	6	17	3	17	0	1	32	2	1	0	13	92	9
Ruminococcaceae	2	0	1	0	0	1	10	3	1	1	4	23	8
Coriobacteriaceae	0	0	0	0	0	0	5	0	0	1	2	8	3
Peptostreptococcaceae	0	1	0	1	0	0	3	1	0	0	0	6	4
Streptococcaceae	0	2	1	2	1	0	0	0	0	0	0	6	4
Rikenellaceae	0	0	0	0	0	0	3	1	0	0	2	6	3
Porphyromonadaceae	1	0	1	0	0	0	0	1	0	0	0	3	3
Bifidobacteriaceae	0	0	0	0	0	0	3	0	0	0	0	3	1
Prevotellaceae	1	0	0	0	0	0	1	0	0	0	0	2	2
Bacteroidaceae	0	0	1	0	0	0	1	0	0	0	0	2	2
Pasteurellaceae	0	0	1	0	0	0	1	0	0	0	0	2	2
Veillonellaceae	0	0	0	0	1	0	1	0	0	0	0	2	2
Acidaminococcaceae	0	0	0	0	0	1	0	0	1	0	0	2	2
Sutterellaceae	0	0	0	0	0	1	0	0	1	0	0	2	2
Erysipelotrichaceae	0	0	0	0	0	0	0	0	0	0	2	2	1
Clostridiaceae_1	0	0	0	0	0	0	0	1	0	0	0	1	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0
