Genus	CD_TNF_14	CD_TNF_24	CD_UC_TNF_14	CD_UC_TNF_24	CD_UC_VDZ_14	CD_UC_VDZ_24	CD_UST_24	CD_VDZ_14	CD_VDZ_24	UC_TNF_14	UC_VDZ_14	sum_taxas	appearance	Family
Faecalibacterium	3	2	2	2	0	0	0	5	0	0	3	17	6	Ruminococcaceae
Bacteroides	0	3	1	3	0	1	0	0	1	0	0	9	5	Bacteroidaceae
Sporobacter	0	0	1	0	2	2	0	0	2	0	1	8	5	Ruminococcaceae
Blautia	0	0	5	0	0	0	0	1	0	1	0	7	3	Lachnospiraceae
Clostridium_XlVa	2	0	3	0	1	0	0	1	0	0	0	7	4	Lachnospiraceae
Alistipes	0	0	0	0	2	1	0	0	1	0	2	6	4	Rikenellaceae
Fusicatenibacter	0	0	0	0	1	2	0	0	2	0	1	6	4	Lachnospiraceae
Roseburia	0	1	0	1	0	1	1	0	1	0	1	6	6	Lachnospiraceae
Coprococcus	0	0	1	0	0	0	1	0	0	0	3	5	3	Lachnospiraceae
Dorea	2	0	2	0	0	0	0	1	0	0	0	5	3	Lachnospiraceae
Ruminococcus2	0	0	1	0	1	0	0	1	0	1	1	5	5	Lachnospiraceae
Clostridium_IV	0	0	1	0	0	1	0	1	1	0	0	4	4	Ruminococcaceae
Clostridium_XVIII	0	0	1	0	0	1	0	0	1	1	0	4	4	Erysipelotrichaceae
Oscillibacter	0	0	2	0	0	0	1	1	0	0	0	4	3	Ruminococcaceae
Ruminococcus	0	0	0	0	1	1	0	0	1	0	1	4	4	Ruminococcaceae
Clostridium_XlVb	1	0	0	0	0	0	0	0	0	0	2	3	2	Lachnospiraceae
Gemmiger	0	1	0	1	0	0	0	0	0	0	1	3	3	Ruminococcaceae
Butyricicoccus	0	0	2	0	0	0	0	0	0	0	0	2	1	Ruminococcaceae
Clostridium_sensu_stricto	0	0	0	0	1	0	0	0	0	0	1	2	2	Clostridiaceae_1
Flavonifractor	0	0	0	0	0	1	0	0	1	0	0	2	2	Ruminococcaceae
Parasutterella	0	1	0	1	0	0	0	0	0	0	0	2	2	Sutterellaceae
Phascolarctobacterium	0	0	0	0	0	1	0	0	1	0	0	2	2	Acidaminococcaceae
Subdoligranulum	0	0	0	0	0	0	0	2	0	0	0	2	1	Ruminococcaceae
Akkermansia	0	0	0	0	0	0	1	0	0	0	0	1	1	Verrucomicrobiaceae
Bilophila	0	0	0	0	0	0	0	0	0	0	1	1	1	Desulfovibrionaceae
Collinsella	0	0	1	0	0	0	0	0	0	0	0	1	1	Coriobacteriaceae
Dialister	0	0	0	0	0	0	1	0	0	0	0	1	1	Veillonellaceae
Odoribacter	0	0	1	0	0	0	0	0	0	0	0	1	1	Porphyromonadaceae
Parabacteroides	0	0	0	0	1	0	0	0	0	0	0	1	1	Porphyromonadaceae
Romboutsia	0	0	0	0	1	0	0	0	0	0	0	1	1	Peptostreptococcaceae
Turicibacter	1	0	0	0	0	0	0	0	0	0	0	1	1	Erysipelotrichaceae
