Genus	CD_TNF_14	CD_TNF_24	CD_UC_TNF_14	CD_UC_TNF_24	CD_UC_VDZ_14	CD_UC_VDZ_24	CD_UST_24	CD_VDZ_14	CD_VDZ_24	UC_TNF_14	UC_VDZ_14	sum_taxas	appearance	Family
Clostridium_XlVa	0	0	12	0	1	0	2	0	0	2	2	19	5	Lachnospiraceae
Faecalibacterium	0	4	7	4	0	0	0	0	0	0	2	17	4	Ruminococcaceae
Blautia	0	1	8	1	1	1	0	0	1	2	0	15	7	Lachnospiraceae
Coprococcus	0	1	6	1	0	1	0	0	1	0	4	14	6	Lachnospiraceae
Roseburia	0	4	1	4	0	0	1	0	0	0	3	13	5	Lachnospiraceae
Fusicatenibacter	0	3	3	3	0	1	0	0	1	0	0	11	5	Lachnospiraceae
Sporobacter	0	0	4	0	1	2	0	1	2	1	0	11	6	Ruminococcaceae
Ruminococcus	0	2	2	2	1	0	0	0	0	0	2	9	5	Ruminococcaceae
Clostridium_IV	0	0	3	0	0	2	0	0	2	1	0	8	4	Ruminococcaceae
Dorea	0	0	8	0	0	0	0	0	0	0	0	8	1	Lachnospiraceae
Bacteroides	2	0	4	0	0	0	0	0	0	1	0	7	3	Bacteroidaceae
Alistipes	0	0	2	0	1	0	0	0	0	1	2	6	4	Rikenellaceae
Oscillibacter	0	0	5	0	0	0	1	0	0	0	0	6	2	Ruminococcaceae
Clostridium_sensu_stricto	0	1	1	1	0	0	0	1	0	0	1	5	5	Clostridiaceae_1
Clostridium_XlVb	0	0	2	0	0	0	0	0	0	2	1	5	3	Lachnospiraceae
Clostridium_XVIII	1	0	2	0	0	0	0	0	0	1	1	5	4	Erysipelotrichaceae
Parabacteroides	0	0	3	0	0	0	0	1	0	1	0	5	3	Porphyromonadaceae
Adlercreutzia	0	0	2	0	0	0	1	0	0	0	0	3	2	Coriobacteriaceae
Haemophilus	0	1	1	1	0	0	0	0	0	0	0	3	3	Pasteurellaceae
Odoribacter	0	0	2	0	0	0	0	0	0	1	0	3	2	Porphyromonadaceae
Ruminococcus2	0	0	3	0	0	0	0	0	0	0	0	3	1	Lachnospiraceae
Senegalimassilia	0	0	2	0	0	0	0	0	0	1	0	3	2	Coriobacteriaceae
Streptococcus	0	0	1	0	0	1	0	0	1	0	0	3	3	Streptococcaceae
Sutterella	0	0	0	0	0	1	0	0	1	1	0	3	3	Sutterellaceae
Flavonifractor	0	0	1	0	0	0	1	0	0	0	0	2	2	Ruminococcaceae
Turicibacter	1	0	1	0	0	0	0	0	0	0	0	2	2	Erysipelotrichaceae
Bifidobacterium	1	0	0	0	0	0	0	0	0	0	0	1	1	Bifidobacteriaceae
Butyricicoccus	0	0	1	0	0	0	0	0	0	0	0	1	1	Ruminococcaceae
Butyricimonas	0	0	1	0	0	0	0	0	0	0	0	1	1	Porphyromonadaceae
Eggerthella	0	0	1	0	0	0	0	0	0	0	0	1	1	Coriobacteriaceae
Escherichia/Shigella	0	0	1	0	0	0	0	0	0	0	0	1	1	Enterobacteriaceae
Gemmiger	0	0	1	0	0	0	0	0	0	0	0	1	1	Ruminococcaceae
Hydrogenoanaerobacterium	0	0	0	0	0	0	0	0	0	0	1	1	1	Ruminococcaceae
Intestinibacter	0	0	0	0	0	0	0	1	0	0	0	1	1	Peptostreptococcaceae
Parasutterella	1	0	0	0	0	0	0	0	0	0	0	1	1	Sutterellaceae
Phascolarctobacterium	0	0	1	0	0	0	0	0	0	0	0	1	1	Acidaminococcaceae
Prevotella	0	0	1	0	0	0	0	0	0	0	0	1	1	Prevotellaceae
Romboutsia	0	0	0	0	0	0	0	0	0	0	1	1	1	Peptostreptococcaceae
