Genus	CD_TNF_14	CD_TNF_24	CD_UC_TNF_14	CD_UC_TNF_24	CD_UC_VDZ_14	CD_UC_VDZ_24	CD_UST_24	CD_VDZ_14	CD_VDZ_24	UC_TNF_14	UC_VDZ_14	sum_taxas	appearance	Family
Blautia	1	7	0	7	0	0	11	0	0	0	0	26	4	Lachnospiraceae
Coprococcus	1	0	0	0	0	0	1	0	0	0	5	7	3	Lachnospiraceae
Alistipes	0	0	0	0	0	0	3	1	0	0	2	6	3	Rikenellaceae
Faecalibacterium	2	0	0	0	0	0	3	1	0	0	0	6	3	Ruminococcaceae
Streptococcus	0	2	1	2	1	0	0	0	0	0	0	6	4	Streptococcaceae
Clostridium_IV	0	0	0	0	0	0	3	1	0	0	0	4	2	Ruminococcaceae
Clostridium_XlVa	0	0	0	0	0	0	2	0	0	0	2	4	2	Lachnospiraceae
Romboutsia	0	1	0	1	0	0	2	0	0	0	0	4	3	Peptostreptococcaceae
Roseburia	1	0	0	0	0	0	2	0	0	0	1	4	3	Lachnospiraceae
Bifidobacterium	0	0	0	0	0	0	3	0	0	0	0	3	1	Bifidobacteriaceae
Clostridium_XlVb	0	1	0	1	0	0	1	0	0	0	0	3	3	Lachnospiraceae
Dorea	0	1	0	1	0	0	0	0	0	0	1	3	3	Lachnospiraceae
Fusicatenibacter	0	1	0	1	0	0	1	0	0	0	0	3	3	Lachnospiraceae
Senegalimassilia	0	0	0	0	0	0	1	0	0	1	1	3	3	Coriobacteriaceae
Adlercreutzia	0	0	0	0	0	0	2	0	0	0	0	2	1	Coriobacteriaceae
Bacteroides	0	0	1	0	0	0	1	0	0	0	0	2	2	Bacteroidaceae
Clostridium_XVIII	0	0	0	0	0	0	0	0	0	0	2	2	1	Erysipelotrichaceae
Collinsella	0	0	0	0	0	0	2	0	0	0	0	2	1	Coriobacteriaceae
Flavonifractor	0	0	0	0	0	1	0	0	1	0	0	2	2	Ruminococcaceae
Gemmiger	0	0	1	0	0	0	1	0	0	0	0	2	2	Ruminococcaceae
Haemophilus	0	0	1	0	0	0	1	0	0	0	0	2	2	Pasteurellaceae
Intestinibacter	0	0	0	0	0	0	1	1	0	0	0	2	2	Peptostreptococcaceae
Phascolarctobacterium	0	0	0	0	0	1	0	0	1	0	0	2	2	Acidaminococcaceae
Prevotella	1	0	0	0	0	0	1	0	0	0	0	2	2	Prevotellaceae
Ruminococcus2	0	0	0	0	0	0	1	0	0	0	1	2	2	Lachnospiraceae
Sporobacter	0	0	0	0	0	0	0	1	0	1	0	2	2	Ruminococcaceae
Sutterella	0	0	0	0	0	1	0	0	1	0	0	2	2	Sutterellaceae
Veillonella	0	0	0	0	1	0	1	0	0	0	0	2	2	Veillonellaceae
Butyricicoccus	0	0	0	0	0	0	1	0	0	0	0	1	1	Ruminococcaceae
Butyricimonas	1	0	0	0	0	0	0	0	0	0	0	1	1	Porphyromonadaceae
Clostridium_sensu_stricto	0	0	0	0	0	0	0	1	0	0	0	1	1	Clostridiaceae_1
Eggerthella	0	0	0	0	0	0	0	0	0	0	1	1	1	Coriobacteriaceae
Intestinimonas	0	0	0	0	0	0	1	0	0	0	0	1	1	Ruminococcaceae
Odoribacter	0	0	1	0	0	0	0	0	0	0	0	1	1	Porphyromonadaceae
Oscillibacter	0	0	0	0	0	0	0	0	0	0	1	1	1	Ruminococcaceae
Parabacteroides	0	0	0	0	0	0	0	1	0	0	0	1	1	Porphyromonadaceae
Ruminococcus	0	0	0	0	0	0	0	0	0	0	1	1	1	Ruminococcaceae
