Family_1__Family_2	CD_TNF_14	CD_TNF_24	CD_UC_TNF_14	CD_UC_TNF_24	CD_UC_VDZ_14	CD_UC_VDZ_24	CD_UST_24	CD_VDZ_14	CD_VDZ_24	UC_TNF_14	UC_VDZ_14	sum_taxas	appearance	Family_1	Family_2
Lachnospiraceae__Lachnospiraceae	3	0	3	0	2	2	3	1	2	1	4	21	9	Lachnospiraceae	Lachnospiraceae
Lachnospiraceae__Ruminococcaceae	3	1	3	1	1	0	1	7	0	0	3	20	8	Lachnospiraceae	Ruminococcaceae
Ruminococcaceae__Ruminococcaceae	0	1	3	1	0	2	0	1	2	0	2	12	7	Ruminococcaceae	Ruminococcaceae
Rikenellaceae__Ruminococcaceae	0	0	0	0	2	1	0	0	1	0	1	5	4	Rikenellaceae	Ruminococcaceae
Lachnospiraceae__NA	0	0	1	0	2	0	0	0	0	0	0	3	2	Lachnospiraceae	NA
Bacteroidaceae__Bacteroidaceae	0	1	0	1	0	0	0	0	0	0	0	2	2	Bacteroidaceae	Bacteroidaceae
Bacteroidaceae__Sutterellaceae	0	1	0	1	0	0	0	0	0	0	0	2	2	Bacteroidaceae	Sutterellaceae
Erysipelotrichaceae__Lachnospiraceae	0	0	1	0	0	0	0	0	0	1	0	2	2	Erysipelotrichaceae	Lachnospiraceae
Acidaminococcaceae__Ruminococcaceae	0	0	0	0	0	1	0	0	1	0	0	2	2	Acidaminococcaceae	Ruminococcaceae
Bacteroidaceae__Erysipelotrichaceae	0	0	0	0	0	1	0	0	1	0	0	2	2	Bacteroidaceae	Erysipelotrichaceae
Clostridiales_Incertae_Sedis_XIII__Lachnospiraceae	0	0	0	0	0	1	0	0	1	0	0	2	2	Clostridiales_Incertae_Sedis_XIII	Lachnospiraceae
Ruminococcaceae__NA	0	0	0	0	0	0	0	1	0	0	1	2	2	Ruminococcaceae	NA
Erysipelotrichaceae__Ruminococcaceae	1	0	0	0	0	0	0	0	0	0	0	1	1	Erysipelotrichaceae	Ruminococcaceae
Bacteroidaceae__Lachnospiraceae	0	0	1	0	0	0	0	0	0	0	0	1	1	Bacteroidaceae	Lachnospiraceae
Coriobacteriaceae__Lachnospiraceae	0	0	1	0	0	0	0	0	0	0	0	1	1	Coriobacteriaceae	Lachnospiraceae
Porphyromonadaceae__Ruminococcaceae	0	0	1	0	0	0	0	0	0	0	0	1	1	Porphyromonadaceae	Ruminococcaceae
Clostridiaceae_1__Peptostreptococcaceae	0	0	0	0	1	0	0	0	0	0	0	1	1	Clostridiaceae_1	Peptostreptococcaceae
Lachnospiraceae__Porphyromonadaceae	0	0	0	0	1	0	0	0	0	0	0	1	1	Lachnospiraceae	Porphyromonadaceae
Veillonellaceae__Verrucomicrobiaceae	0	0	0	0	0	0	1	0	0	0	0	1	1	Veillonellaceae	Verrucomicrobiaceae
Clostridiaceae_1__Lachnospiraceae	0	0	0	0	0	0	0	0	0	0	1	1	1	Clostridiaceae_1	Lachnospiraceae
Desulfovibrionaceae__Lachnospiraceae	0	0	0	0	0	0	0	0	0	0	1	1	1	Desulfovibrionaceae	Lachnospiraceae
Lachnospiraceae__Rikenellaceae	0	0	0	0	0	0	0	0	0	0	1	1	1	Lachnospiraceae	Rikenellaceae
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
