Family_1__Family_2	CD_TNF_14	CD_TNF_24	CD_UC_TNF_14	CD_UC_TNF_24	CD_UC_VDZ_14	CD_UC_VDZ_24	CD_UST_24	CD_VDZ_14	CD_VDZ_24	UC_TNF_14	UC_VDZ_14	sum_taxas	appearance	Family_1	Family_2
Lachnospiraceae__Lachnospiraceae	0	3	21	3	2	4	1	0	4	1	6	45	9	Lachnospiraceae	Lachnospiraceae
Lachnospiraceae__Ruminococcaceae	1	3	12	3	0	2	3	0	2	1	3	30	9	Lachnospiraceae	Ruminococcaceae
Ruminococcaceae__Ruminococcaceae	0	2	7	2	1	1	0	0	1	0	3	17	7	Ruminococcaceae	Ruminococcaceae
Erysipelotrichaceae__Lachnospiraceae	0	1	1	1	0	0	0	0	0	2	1	6	5	Erysipelotrichaceae	Lachnospiraceae
Coriobacteriaceae__Lachnospiraceae	0	0	3	0	0	0	1	0	0	0	0	4	2	Coriobacteriaceae	Lachnospiraceae
Lachnospiraceae__NA	0	0	1	0	1	0	0	1	0	0	0	3	3	Lachnospiraceae	NA
Rikenellaceae__Ruminococcaceae	0	0	0	0	1	0	0	0	0	0	2	3	2	Rikenellaceae	Ruminococcaceae
Lachnospiraceae__Sutterellaceae	0	0	0	0	0	1	0	0	1	1	0	3	3	Lachnospiraceae	Sutterellaceae
Clostridiaceae_1__Pasteurellaceae	0	1	0	1	0	0	0	0	0	0	0	2	2	Clostridiaceae_1	Pasteurellaceae
Bacteroidaceae__Porphyromonadaceae	0	0	1	0	0	0	0	0	0	1	0	2	2	Bacteroidaceae	Porphyromonadaceae
Clostridiaceae_1__Lachnospiraceae	0	0	1	0	0	0	0	0	0	0	1	2	2	Clostridiaceae_1	Lachnospiraceae
Coriobacteriaceae__Ruminococcaceae	0	0	1	0	0	0	0	0	0	1	0	2	2	Coriobacteriaceae	Ruminococcaceae
Lachnospiraceae__Porphyromonadaceae	0	0	1	0	0	0	0	0	0	1	0	2	2	Lachnospiraceae	Porphyromonadaceae
Porphyromonadaceae__Ruminococcaceae	0	0	1	0	0	0	0	1	0	0	0	2	2	Porphyromonadaceae	Ruminococcaceae
Lachnospiraceae__Streptococcaceae	0	0	0	0	0	1	0	0	1	0	0	2	2	Lachnospiraceae	Streptococcaceae
Bacteroidaceae__Erysipelotrichaceae	1	0	0	0	0	0	0	0	0	0	0	1	1	Bacteroidaceae	Erysipelotrichaceae
Bacteroidaceae__Sutterellaceae	1	0	0	0	0	0	0	0	0	0	0	1	1	Bacteroidaceae	Sutterellaceae
Bifidobacteriaceae__Erysipelotrichaceae	1	0	0	0	0	0	0	0	0	0	0	1	1	Bifidobacteriaceae	Erysipelotrichaceae
Acidaminococcaceae__Bacteroidaceae	0	0	1	0	0	0	0	0	0	0	0	1	1	Acidaminococcaceae	Bacteroidaceae
Bacteroidaceae__Enterobacteriaceae	0	0	1	0	0	0	0	0	0	0	0	1	1	Bacteroidaceae	Enterobacteriaceae
Bacteroidaceae__Rikenellaceae	0	0	1	0	0	0	0	0	0	0	0	1	1	Bacteroidaceae	Rikenellaceae
Coriobacteriaceae__Erysipelotrichaceae	0	0	1	0	0	0	0	0	0	0	0	1	1	Coriobacteriaceae	Erysipelotrichaceae
Erysipelotrichaceae__Ruminococcaceae	0	0	1	0	0	0	0	0	0	0	0	1	1	Erysipelotrichaceae	Ruminococcaceae
Lachnospiraceae__Prevotellaceae	0	0	1	0	0	0	0	0	0	0	0	1	1	Lachnospiraceae	Prevotellaceae
Lachnospiraceae__Rikenellaceae	0	0	1	0	0	0	0	0	0	0	0	1	1	Lachnospiraceae	Rikenellaceae
Pasteurellaceae__Streptococcaceae	0	0	1	0	0	0	0	0	0	0	0	1	1	Pasteurellaceae	Streptococcaceae
Porphyromonadaceae__NA	0	0	1	0	0	0	0	0	0	0	0	1	1	Porphyromonadaceae	NA
Porphyromonadaceae__Porphyromonadaceae	0	0	1	0	0	0	0	0	0	0	0	1	1	Porphyromonadaceae	Porphyromonadaceae
Clostridiaceae_1__Peptostreptococcaceae	0	0	0	0	0	0	0	1	0	0	0	1	1	Clostridiaceae_1	Peptostreptococcaceae
Erysipelotrichaceae__Rikenellaceae	0	0	0	0	0	0	0	0	0	1	0	1	1	Erysipelotrichaceae	Rikenellaceae
Lachnospiraceae__Peptostreptococcaceae	0	0	0	0	0	0	0	0	0	0	1	1	1	Lachnospiraceae	Peptostreptococcaceae
Ruminococcaceae__NA	0	0	0	0	0	0	0	0	0	0	1	1	1	Ruminococcaceae	NA
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
