Family_1__Family_2	CD_TNF_14	CD_TNF_24	CD_UC_TNF_14	CD_UC_TNF_24	CD_UC_VDZ_14	CD_UC_VDZ_24	CD_UST_24	CD_VDZ_14	CD_VDZ_24	UC_TNF_14	UC_VDZ_14	sum_taxas	appearance	Family_1	Family_2
Lachnospiraceae__Lachnospiraceae	1	8	1	8	0	0	10	0	0	0	4	32	6	Lachnospiraceae	Lachnospiraceae
Lachnospiraceae__Ruminococcaceae	2	0	1	0	0	0	4	0	0	0	2	9	4	Lachnospiraceae	Ruminococcaceae
Lachnospiraceae__Rikenellaceae	0	0	0	0	0	0	3	1	0	0	1	5	3	Lachnospiraceae	Rikenellaceae
Coriobacteriaceae__Ruminococcaceae	0	0	0	0	0	0	2	0	0	1	1	4	3	Coriobacteriaceae	Ruminococcaceae
Lachnospiraceae__Peptostreptococcaceae	0	1	0	1	0	0	1	0	0	0	0	3	3	Lachnospiraceae	Peptostreptococcaceae
Lachnospiraceae__Prevotellaceae	1	0	0	0	0	0	1	0	0	0	0	2	2	Lachnospiraceae	Prevotellaceae
Streptococcaceae__Streptococcaceae	0	1	0	1	0	0	0	0	0	0	0	2	2	Streptococcaceae	Streptococcaceae
Ruminococcaceae__Acidaminococcaceae	0	0	0	0	0	1	0	0	1	0	0	2	2	Ruminococcaceae	Acidaminococcaceae
Sutterellaceae__Lachnospiraceae	0	0	0	0	0	1	0	0	1	0	0	2	2	Sutterellaceae	Lachnospiraceae
Ruminococcaceae__NA	0	0	0	0	0	0	2	0	0	0	0	2	1	Ruminococcaceae	NA
Ruminococcaceae__Ruminococcaceae	0	0	0	0	0	0	1	1	0	0	0	2	2	Ruminococcaceae	Ruminococcaceae
Lachnospiraceae__NA	0	0	0	0	0	0	0	1	0	0	1	2	2	Lachnospiraceae	NA
Lachnospiraceae__Porphyromonadaceae	1	0	0	0	0	0	0	0	0	0	0	1	1	Lachnospiraceae	Porphyromonadaceae
Bacteroidaceae__Porphyromonadaceae	0	0	1	0	0	0	0	0	0	0	0	1	1	Bacteroidaceae	Porphyromonadaceae
Pasteurellaceae__Streptococcaceae	0	0	1	0	0	0	0	0	0	0	0	1	1	Pasteurellaceae	Streptococcaceae
Veillonellaceae__Streptococcaceae	0	0	0	0	1	0	0	0	0	0	0	1	1	Veillonellaceae	Streptococcaceae
Bacteroidaceae__Lachnospiraceae	0	0	0	0	0	0	1	0	0	0	0	1	1	Bacteroidaceae	Lachnospiraceae
Bifidobacteriaceae__Bifidobacteriaceae	0	0	0	0	0	0	1	0	0	0	0	1	1	Bifidobacteriaceae	Bifidobacteriaceae
Bifidobacteriaceae__Lachnospiraceae	0	0	0	0	0	0	1	0	0	0	0	1	1	Bifidobacteriaceae	Lachnospiraceae
Coriobacteriaceae__Coriobacteriaceae	0	0	0	0	0	0	1	0	0	0	0	1	1	Coriobacteriaceae	Coriobacteriaceae
Coriobacteriaceae__Lachnospiraceae	0	0	0	0	0	0	1	0	0	0	0	1	1	Coriobacteriaceae	Lachnospiraceae
Pasteurellaceae__Veillonellaceae	0	0	0	0	0	0	1	0	0	0	0	1	1	Pasteurellaceae	Veillonellaceae
Peptostreptococcaceae__Peptostreptococcaceae	0	0	0	0	0	0	1	0	0	0	0	1	1	Peptostreptococcaceae	Peptostreptococcaceae
Clostridiaceae_1__Peptostreptococcaceae	0	0	0	0	0	0	0	1	0	0	0	1	1	Clostridiaceae_1	Peptostreptococcaceae
Porphyromonadaceae__Ruminococcaceae	0	0	0	0	0	0	0	1	0	0	0	1	1	Porphyromonadaceae	Ruminococcaceae
Coriobacteriaceae__Erysipelotrichaceae	0	0	0	0	0	0	0	0	0	0	1	1	1	Coriobacteriaceae	Erysipelotrichaceae
Erysipelotrichaceae__Lachnospiraceae	0	0	0	0	0	0	0	0	0	0	1	1	1	Erysipelotrichaceae	Lachnospiraceae
Rikenellaceae__Ruminococcaceae	0	0	0	0	0	0	0	0	0	0	1	1	1	Rikenellaceae	Ruminococcaceae
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
