Genus_1	Genus_2	Genus_1__Genus_2	CD_TNF_14	CD_TNF_24	CD_UC_TNF_14	CD_UC_TNF_24	CD_UC_VDZ_14	CD_UC_VDZ_24	CD_UST_24	CD_VDZ_14	CD_VDZ_24	UC_TNF_14	UC_VDZ_14	sum_taxas	appearance	Family.x	Family.y
Alistipes	Ruminococcus	Alistipes__Ruminococcus	0	0	0	0	1	0	0	0	0	0	1	2	2	Ruminococcaceae	Rikenellaceae
Bacteroides	Bacteroides	Bacteroides__Bacteroides	0	1	0	1	0	0	0	0	0	0	0	2	2	Bacteroidaceae	Bacteroidaceae
Bacteroides	Clostridium_XVIII	Bacteroides__Clostridium_XVIII	0	0	0	0	0	1	0	0	1	0	0	2	2	Erysipelotrichaceae	Bacteroidaceae
Bacteroides	Parasutterella	Bacteroides__Parasutterella	0	1	0	1	0	0	0	0	0	0	0	2	2	Sutterellaceae	Bacteroidaceae
Clostridium_IV	Ruminococcus	Clostridium_IV__Ruminococcus	0	0	0	0	0	1	0	0	1	0	0	2	2	Ruminococcaceae	Ruminococcaceae
Clostridium_XlVa	Dorea	Clostridium_XlVa__Dorea	1	0	1	0	0	0	0	0	0	0	0	2	2	Lachnospiraceae	Lachnospiraceae
Faecalibacterium	Faecalibacterium	Faecalibacterium__Faecalibacterium	0	1	0	1	0	0	0	0	0	0	0	2	2	Ruminococcaceae	Ruminococcaceae
Flavonifractor	Phascolarctobacterium	Flavonifractor__Phascolarctobacterium	0	0	0	0	0	1	0	0	1	0	0	2	2	Acidaminococcaceae	Ruminococcaceae
Fusicatenibacter	Roseburia	Fusicatenibacter__Roseburia	0	0	0	0	0	1	0	0	1	0	0	2	2	Lachnospiraceae	Lachnospiraceae
Gemmiger	Roseburia	Gemmiger__Roseburia	0	1	0	1	0	0	0	0	0	0	0	2	2	Lachnospiraceae	Ruminococcaceae
Sporobacter	Sporobacter	Sporobacter__Sporobacter	0	0	0	0	0	1	0	0	1	0	0	2	2	Ruminococcaceae	Ruminococcaceae
