Genus_1	Genus_2	Genus_1__Genus_2	CD_TNF_14	CD_TNF_24	CD_UC_TNF_14	CD_UC_TNF_24	CD_UC_VDZ_14	CD_UC_VDZ_24	CD_UST_24	CD_VDZ_14	CD_VDZ_24	UC_TNF_14	UC_VDZ_14	sum_taxas	appearance	Family.x	Family.y
Clostridium_IV	Sporobacter	Clostridium_IV__Sporobacter	0	0	1	0	0	1	0	0	1	0	0	3	3	Ruminococcaceae	Ruminococcaceae
Roseburia	Roseburia	Roseburia__Roseburia	0	1	0	1	0	0	0	0	0	0	1	3	3	Lachnospiraceae	Lachnospiraceae
Alistipes	Ruminococcus	Alistipes__Ruminococcus	0	0	0	0	1	0	0	0	0	0	1	2	2	Ruminococcaceae	Rikenellaceae
Bacteroides	Odoribacter	Bacteroides__Odoribacter	0	0	1	0	0	0	0	0	0	1	0	2	2	Porphyromonadaceae	Bacteroidaceae
Blautia	Fusicatenibacter	Blautia__Fusicatenibacter	0	1	0	1	0	0	0	0	0	0	0	2	2	Lachnospiraceae	Lachnospiraceae
Clostridium_sensu_stricto	Haemophilus	Clostridium_sensu_stricto__Haemophilus	0	1	0	1	0	0	0	0	0	0	0	2	2	Pasteurellaceae	Clostridiaceae_1
Clostridium_XlVa	Clostridium_XVIII	Clostridium_XlVa__Clostridium_XVIII	0	0	0	0	0	0	0	0	0	1	1	2	2	Erysipelotrichaceae	Lachnospiraceae
Clostridium_XlVb	Parabacteroides	Clostridium_XlVb__Parabacteroides	0	0	1	0	0	0	0	0	0	1	0	2	2	Porphyromonadaceae	Lachnospiraceae
Coprococcus	Faecalibacterium	Coprococcus__Faecalibacterium	0	0	2	0	0	0	0	0	0	0	0	2	1	Ruminococcaceae	Lachnospiraceae
Dorea	Dorea	Dorea__Dorea	0	0	2	0	0	0	0	0	0	0	0	2	1	Lachnospiraceae	Lachnospiraceae
Faecalibacterium	Ruminococcus	Faecalibacterium__Ruminococcus	0	1	0	1	0	0	0	0	0	0	0	2	2	Ruminococcaceae	Ruminococcaceae
Faecalibacterium	Roseburia	Faecalibacterium__Roseburia	0	1	0	1	0	0	0	0	0	0	0	2	2	Lachnospiraceae	Ruminococcaceae
Faecalibacterium	Fusicatenibacter	Faecalibacterium__Fusicatenibacter	0	1	0	1	0	0	0	0	0	0	0	2	2	Lachnospiraceae	Ruminococcaceae
Roseburia	Ruminococcus	Roseburia__Ruminococcus	0	1	0	1	0	0	0	0	0	0	0	2	2	Ruminococcaceae	Lachnospiraceae
Adlercreutzia	Oscillibacter	Adlercreutzia__Oscillibacter	0	0	1	0	0	0	0	0	0	0	0	1	1	Ruminococcaceae	Coriobacteriaceae
Adlercreutzia	Roseburia	Adlercreutzia__Roseburia	0	0	0	0	0	0	1	0	0	0	0	1	1	Lachnospiraceae	Coriobacteriaceae
Alistipes	Bacteroides	Alistipes__Bacteroides	0	0	1	0	0	0	0	0	0	0	0	1	1	Bacteroidaceae	Rikenellaceae
Alistipes	Faecalibacterium	Alistipes__Faecalibacterium	0	0	0	0	0	0	0	0	0	0	1	1	1	Ruminococcaceae	Rikenellaceae
Alistipes	Coprococcus	Alistipes__Coprococcus	0	0	1	0	0	0	0	0	0	0	0	1	1	Lachnospiraceae	Rikenellaceae
Bacteroides	Phascolarctobacterium	Bacteroides__Phascolarctobacterium	0	0	1	0	0	0	0	0	0	0	0	1	1	Acidaminococcaceae	Bacteroidaceae
Bacteroides	Clostridium_XVIII	Bacteroides__Clostridium_XVIII	1	0	0	0	0	0	0	0	0	0	0	1	1	Erysipelotrichaceae	Bacteroidaceae
Bacteroides	Parasutterella	Bacteroides__Parasutterella	1	0	0	0	0	0	0	0	0	0	0	1	1	Sutterellaceae	Bacteroidaceae
Bacteroides	Escherichia/Shigella	Bacteroides__Escherichia/Shigella	0	0	1	0	0	0	0	0	0	0	0	1	1	Enterobacteriaceae	Bacteroidaceae
Bifidobacterium	Turicibacter	Bifidobacterium__Turicibacter	1	0	0	0	0	0	0	0	0	0	0	1	1	Erysipelotrichaceae	Bifidobacteriaceae
Blautia	Blautia	Blautia__Blautia	0	0	0	0	0	0	0	0	0	1	0	1	1	Lachnospiraceae	Lachnospiraceae
Blautia	Coprococcus	Blautia__Coprococcus	0	0	1	0	0	0	0	0	0	0	0	1	1	Lachnospiraceae	Lachnospiraceae
Blautia	Faecalibacterium	Blautia__Faecalibacterium	0	0	1	0	0	0	0	0	0	0	0	1	1	Ruminococcaceae	Lachnospiraceae
Blautia	Flavonifractor	Blautia__Flavonifractor	0	0	1	0	0	0	0	0	0	0	0	1	1	Ruminococcaceae	Lachnospiraceae
Butyricicoccus	Clostridium_XlVa	Butyricicoccus__Clostridium_XlVa	0	0	1	0	0	0	0	0	0	0	0	1	1	Lachnospiraceae	Ruminococcaceae
Butyricimonas	Odoribacter	Butyricimonas__Odoribacter	0	0	1	0	0	0	0	0	0	0	0	1	1	Porphyromonadaceae	Porphyromonadaceae
Clostridium_sensu_stricto	Intestinibacter	Clostridium_sensu_stricto__Intestinibacter	0	0	0	0	0	0	0	1	0	0	0	1	1	Peptostreptococcaceae	Clostridiaceae_1
Clostridium_sensu_stricto	Clostridium_XlVa	Clostridium_sensu_stricto__Clostridium_XlVa	0	0	1	0	0	0	0	0	0	0	0	1	1	Lachnospiraceae	Clostridiaceae_1
Clostridium_XlVa	Eggerthella	Clostridium_XlVa__Eggerthella	0	0	1	0	0	0	0	0	0	0	0	1	1	Coriobacteriaceae	Lachnospiraceae
Clostridium_XlVa	Faecalibacterium	Clostridium_XlVa__Faecalibacterium	0	0	1	0	0	0	0	0	0	0	0	1	1	Ruminococcaceae	Lachnospiraceae
Clostridium_XlVa	Senegalimassilia	Clostridium_XlVa__Senegalimassilia	0	0	1	0	0	0	0	0	0	0	0	1	1	Coriobacteriaceae	Lachnospiraceae
Clostridium_XlVa	Dorea	Clostridium_XlVa__Dorea	0	0	1	0	0	0	0	0	0	0	0	1	1	Lachnospiraceae	Lachnospiraceae
Clostridium_XlVa	Fusicatenibacter	Clostridium_XlVa__Fusicatenibacter	0	0	1	0	0	0	0	0	0	0	0	1	1	Lachnospiraceae	Lachnospiraceae
Clostridium_XlVa	Clostridium_XlVa	Clostridium_XlVa__Clostridium_XlVa	0	0	1	0	0	0	0	0	0	0	0	1	1	Lachnospiraceae	Lachnospiraceae
Clostridium_XlVb	Sutterella	Clostridium_XlVb__Sutterella	0	0	0	0	0	0	0	0	0	1	0	1	1	Sutterellaceae	Lachnospiraceae
Clostridium_XlVb	Coprococcus	Clostridium_XlVb__Coprococcus	0	0	0	0	0	0	0	0	0	0	1	1	1	Lachnospiraceae	Lachnospiraceae
Clostridium_XVIII	Faecalibacterium	Clostridium_XVIII__Faecalibacterium	0	0	1	0	0	0	0	0	0	0	0	1	1	Ruminococcaceae	Erysipelotrichaceae
Coprococcus	Dorea	Coprococcus__Dorea	0	0	1	0	0	0	0	0	0	0	0	1	1	Lachnospiraceae	Lachnospiraceae
Coprococcus	Roseburia	Coprococcus__Roseburia	0	0	0	0	0	0	0	0	0	0	1	1	1	Lachnospiraceae	Lachnospiraceae
Dorea	Roseburia	Dorea__Roseburia	0	0	1	0	0	0	0	0	0	0	0	1	1	Lachnospiraceae	Lachnospiraceae
Dorea	Prevotella	Dorea__Prevotella	0	0	1	0	0	0	0	0	0	0	0	1	1	Prevotellaceae	Lachnospiraceae
Fusicatenibacter	Gemmiger	Fusicatenibacter__Gemmiger	0	0	1	0	0	0	0	0	0	0	0	1	1	Ruminococcaceae	Lachnospiraceae
Fusicatenibacter	Ruminococcus2	Fusicatenibacter__Ruminococcus2	0	0	1	0	0	0	0	0	0	0	0	1	1	Lachnospiraceae	Lachnospiraceae
Haemophilus	Streptococcus	Haemophilus__Streptococcus	0	0	1	0	0	0	0	0	0	0	0	1	1	Streptococcaceae	Pasteurellaceae
Oscillibacter	Oscillibacter	Oscillibacter__Oscillibacter	0	0	1	0	0	0	0	0	0	0	0	1	1	Ruminococcaceae	Ruminococcaceae
Oscillibacter	Parabacteroides	Oscillibacter__Parabacteroides	0	0	1	0	0	0	0	0	0	0	0	1	1	Porphyromonadaceae	Ruminococcaceae
Parabacteroides	Sporobacter	Parabacteroides__Sporobacter	0	0	0	0	0	0	0	1	0	0	0	1	1	Ruminococcaceae	Porphyromonadaceae
Ruminococcus	Ruminococcus	Ruminococcus__Ruminococcus	0	0	1	0	0	0	0	0	0	0	0	1	1	Ruminococcaceae	Ruminococcaceae
Ruminococcus2	Ruminococcus2	Ruminococcus2__Ruminococcus2	0	0	1	0	0	0	0	0	0	0	0	1	1	Lachnospiraceae	Lachnospiraceae
Senegalimassilia	Sporobacter	Senegalimassilia__Sporobacter	0	0	0	0	0	0	0	0	0	1	0	1	1	Ruminococcaceae	Coriobacteriaceae
