Genus_1	Genus_2	Genus_1__Genus_2	CD_TNF_14	CD_TNF_24	CD_UC_TNF_14	CD_UC_TNF_24	CD_UC_VDZ_14	CD_UC_VDZ_24	CD_UST_24	CD_VDZ_14	CD_VDZ_24	UC_TNF_14	UC_VDZ_14	sum_taxas	appearance	Family.x	Family.y
Blautia	Blautia	Blautia__Blautia	0	1	0	1	0	0	2	0	0	0	0	4	3	Lachnospiraceae	Lachnospiraceae
Blautia	Clostridium_XlVb	Blautia__Clostridium_XlVb	0	1	0	1	0	0	0	0	0	0	0	2	2	Lachnospiraceae	Lachnospiraceae
Blautia	Dorea	Blautia__Dorea	0	1	0	1	0	0	0	0	0	0	0	2	2	Lachnospiraceae	Lachnospiraceae
Flavonifractor	Phascolarctobacterium	Flavonifractor__Phascolarctobacterium	0	0	0	0	0	1	0	0	1	0	0	2	2	Acidaminococcaceae	Ruminococcaceae
Streptococcus	Streptococcus	Streptococcus__Streptococcus	0	1	0	1	0	0	0	0	0	0	0	2	2	Streptococcaceae	Streptococcaceae
Adlercreutzia	Blautia	Adlercreutzia__Blautia	0	0	0	0	0	0	1	0	0	0	0	1	1	Lachnospiraceae	Coriobacteriaceae
Adlercreutzia	Intestinimonas	Adlercreutzia__Intestinimonas	0	0	0	0	0	0	1	0	0	0	0	1	1	Ruminococcaceae	Coriobacteriaceae
Alistipes	Blautia	Alistipes__Blautia	0	0	0	0	0	0	1	0	0	0	0	1	1	Lachnospiraceae	Rikenellaceae
Alistipes	Coprococcus	Alistipes__Coprococcus	0	0	0	0	0	0	0	0	0	0	1	1	1	Lachnospiraceae	Rikenellaceae
Alistipes	Ruminococcus	Alistipes__Ruminococcus	0	0	0	0	0	0	0	0	0	0	1	1	1	Ruminococcaceae	Rikenellaceae
Bacteroides	Odoribacter	Bacteroides__Odoribacter	0	0	1	0	0	0	0	0	0	0	0	1	1	Porphyromonadaceae	Bacteroidaceae
Bifidobacterium	Bifidobacterium	Bifidobacterium__Bifidobacterium	0	0	0	0	0	0	1	0	0	0	0	1	1	Bifidobacteriaceae	Bifidobacteriaceae
Bifidobacterium	Fusicatenibacter	Bifidobacterium__Fusicatenibacter	0	0	0	0	0	0	1	0	0	0	0	1	1	Lachnospiraceae	Bifidobacteriaceae
Blautia	Gemmiger	Blautia__Gemmiger	0	0	0	0	0	0	1	0	0	0	0	1	1	Ruminococcaceae	Lachnospiraceae
Blautia	Clostridium_XlVa	Blautia__Clostridium_XlVa	0	0	0	0	0	0	1	0	0	0	0	1	1	Lachnospiraceae	Lachnospiraceae
Blautia	Prevotella	Blautia__Prevotella	0	0	0	0	0	0	1	0	0	0	0	1	1	Prevotellaceae	Lachnospiraceae
Butyricicoccus	Collinsella	Butyricicoccus__Collinsella	0	0	0	0	0	0	1	0	0	0	0	1	1	Coriobacteriaceae	Ruminococcaceae
Clostridium_IV	Faecalibacterium	Clostridium_IV__Faecalibacterium	0	0	0	0	0	0	0	1	0	0	0	1	1	Ruminococcaceae	Ruminococcaceae
Clostridium_sensu_stricto	Intestinibacter	Clostridium_sensu_stricto__Intestinibacter	0	0	0	0	0	0	0	1	0	0	0	1	1	Peptostreptococcaceae	Clostridiaceae_1
Clostridium_XlVa	Romboutsia	Clostridium_XlVa__Romboutsia	0	0	0	0	0	0	1	0	0	0	0	1	1	Peptostreptococcaceae	Lachnospiraceae
Clostridium_XlVa	Clostridium_XVIII	Clostridium_XlVa__Clostridium_XVIII	0	0	0	0	0	0	0	0	0	0	1	1	1	Erysipelotrichaceae	Lachnospiraceae
Clostridium_XVIII	Eggerthella	Clostridium_XVIII__Eggerthella	0	0	0	0	0	0	0	0	0	0	1	1	1	Coriobacteriaceae	Erysipelotrichaceae
Collinsella	Senegalimassilia	Collinsella__Senegalimassilia	0	0	0	0	0	0	1	0	0	0	0	1	1	Coriobacteriaceae	Coriobacteriaceae
Coprococcus	Roseburia	Coprococcus__Roseburia	0	0	0	0	0	0	0	0	0	0	1	1	1	Lachnospiraceae	Lachnospiraceae
Coprococcus	Faecalibacterium	Coprococcus__Faecalibacterium	1	0	0	0	0	0	0	0	0	0	0	1	1	Ruminococcaceae	Lachnospiraceae
Dorea	Oscillibacter	Dorea__Oscillibacter	0	0	0	0	0	0	0	0	0	0	1	1	1	Ruminococcaceae	Lachnospiraceae
Faecalibacterium	Faecalibacterium	Faecalibacterium__Faecalibacterium	0	0	0	0	0	0	1	0	0	0	0	1	1	Ruminococcaceae	Ruminococcaceae
Haemophilus	Streptococcus	Haemophilus__Streptococcus	0	0	1	0	0	0	0	0	0	0	0	1	1	Streptococcaceae	Pasteurellaceae
Haemophilus	Veillonella	Haemophilus__Veillonella	0	0	0	0	0	0	1	0	0	0	0	1	1	Veillonellaceae	Pasteurellaceae
Intestinibacter	Romboutsia	Intestinibacter__Romboutsia	0	0	0	0	0	0	1	0	0	0	0	1	1	Peptostreptococcaceae	Peptostreptococcaceae
Parabacteroides	Sporobacter	Parabacteroides__Sporobacter	0	0	0	0	0	0	0	1	0	0	0	1	1	Ruminococcaceae	Porphyromonadaceae
Prevotella	Roseburia	Prevotella__Roseburia	1	0	0	0	0	0	0	0	0	0	0	1	1	Lachnospiraceae	Prevotellaceae
Senegalimassilia	Sporobacter	Senegalimassilia__Sporobacter	0	0	0	0	0	0	0	0	0	1	0	1	1	Ruminococcaceae	Coriobacteriaceae
Veillonella	Streptococcus	Veillonella__Streptococcus	0	0	0	0	1	0	0	0	0	0	0	1	1	Streptococcaceae	Veillonellaceae
