Genus	CD_TNF_14	CD_TNF_24	CD_UC_TNF_14	CD_UC_TNF_24	UC_VDZ_14	sum_taxas	appearance	Family
Roseburia	0	2	1	2	1	6	4	Lachnospiraceae
Dorea	0	0	4	0	0	4	1	Lachnospiraceae
Ruminococcus2	0	0	3	0	0	3	1	Lachnospiraceae
Bacteroides	1	0	1	0	0	2	2	Bacteroidaceae
Blautia	0	0	2	0	0	2	1	Lachnospiraceae
Clostridium_XlVa	0	0	2	0	0	2	1	Lachnospiraceae
Faecalibacterium	0	0	2	0	0	2	1	Ruminococcaceae
Fusicatenibacter	0	0	2	0	0	2	1	Lachnospiraceae
Oscillibacter	0	0	2	0	0	2	1	Ruminococcaceae
Butyricicoccus	0	0	1	0	0	1	1	Ruminococcaceae
Clostridium_IV	0	0	1	0	0	1	1	Ruminococcaceae
Clostridium_XVIII	0	0	1	0	0	1	1	Erysipelotrichaceae
Coprococcus	0	0	0	0	1	1	1	Lachnospiraceae
Gemmiger	0	0	1	0	0	1	1	Ruminococcaceae
Haemophilus	0	0	1	0	0	1	1	Pasteurellaceae
Parabacteroides	0	0	1	0	0	1	1	Porphyromonadaceae
Parasutterella	1	0	0	0	0	1	1	Sutterellaceae
Phascolarctobacterium	0	0	1	0	0	1	1	Acidaminococcaceae
Prevotella	0	0	1	0	0	1	1	Prevotellaceae
Sporobacter	0	0	1	0	0	1	1	Ruminococcaceae
Streptococcus	0	0	1	0	0	1	1	Streptococcaceae
