Genus	CD_TNF_14	CD_TNF_24	CD_UC_TNF_14	CD_UC_TNF_24	CD_UST_24	UC_VDZ_14	sum_taxas	appearance	Family
Blautia	0	1	0	1	3	0	5	3	Lachnospiraceae
Streptococcus	0	2	0	2	0	0	4	2	Streptococcaceae
Roseburia	1	0	0	0	1	1	3	3	Lachnospiraceae
Bifidobacterium	0	0	0	0	2	0	2	1	Bifidobacteriaceae
Clostridium_IV	0	0	0	0	2	0	2	1	Ruminococcaceae
Clostridium_XlVb	0	1	0	1	0	0	2	2	Lachnospiraceae
Coprococcus	1	0	0	0	0	1	2	2	Lachnospiraceae
Faecalibacterium	1	0	0	0	1	0	2	2	Ruminococcaceae
Gemmiger	0	0	1	0	1	0	2	2	Ruminococcaceae
Prevotella	1	0	0	0	1	0	2	2	Prevotellaceae
Adlercreutzia	0	0	0	0	1	0	1	1	Coriobacteriaceae
Alistipes	0	0	0	0	1	0	1	1	Rikenellaceae
Butyricimonas	1	0	0	0	0	0	1	1	Porphyromonadaceae
Intestinibacter	0	0	0	0	1	0	1	1	Peptostreptococcaceae
Intestinimonas	0	0	0	0	1	0	1	1	Ruminococcaceae
Romboutsia	0	0	0	0	1	0	1	1	Peptostreptococcaceae
Ruminococcus2	0	0	0	0	1	0	1	1	Lachnospiraceae
